CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
AT0000012529689,529900UACFH7N50TUE27,"Acredia Versicherung AG","Drorygasse, 1/1/3.1, 1030, Wien",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AT0000162237133,,"AIG Europe S.A., Direktion für Österreich","Herrengasse, 1-3, 1010, Wien",no-vida,LURCSB0218806                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
AT0000000707347,5299003F8XGRHET9H154,"Allianz Elementar Lebensversicherungs-Aktiengesellschaft","Wiedner Gürtel, 9-13, 1100, Wien",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
AT0000000491587,529900ETI7480XT9MU29,"Allianz Elementar Versicherungs-Aktiengesellschaft","Wiedner Gürtel, 9-13, 1100, Wien",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
AT0000081779454,,"Allianz Global Corporate & Specialty SE, Austria Branch","Wiedner Gürtel, 9-13, 1100, Wien",no-vida,DEA00PQ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AT0000238834723,,"Allianz SE Reinsurance Branch Vienna","Linzer Straße, 225, 1140, Wien",reaseguros,DEA02WZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AT0000016237537,529900DXBMHRSO7S5727,"APK Versicherung AG","Thomas-Klestil-Platz, 13, 1030, Wien",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AT0000160415426,8945004KR5790TJQMI37,"ARAG SE Direktion für Österreich","Lehrbachgasse, 11, 1120, Wien",no-vida,DEA3J2C                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AT0000069888228,,"Atradius Kreditversicherung, Zweigniederlassung der Atradius Crédito y Caución S.A. de Seguros y Reaseguros","Donau-City-Straße, 7 Vienna DC Tower 1, 1220, Wien",no-vida,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AT0000099292235,529900TXP9RF58RRPB27,"Atzbacher Versicherung Verein auf Gegenseitigkeit","Atzbacher Straße, 23, 4690, Oberndorf bei Schwanenstadt",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AT0000034023398,529900JZWWCJKQ1GTT02,"austrion Life Insurance AG","Rivergate Handelskai, 92 Gate 2 4.OG, 1200, Wien",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
