CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BE0776422642,,"'Sectoraal Vormingsfonds voor de beschutte werkplaatsen' erkend door het 'Vlaams Fonds voor de Socia","Goossensvest, 34, 3300, Tienen",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
BE0628446667,984500FB5G75A1F83796,"Aanvullend Paritair Comité voor de bedienden","Stuiversstraat, 8, 1000, Brussel",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
BE0677563311,,"Aanvullend Sociaal Fonds van de non-profit","Sainctelettesquare, 13-15, 1000, Brussel",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BE0419457593,,"Aanvullende Pensioenkas - Drukkerij-, grafische kunst- en dagbladbedrijf","Place du Champ de Mars, 2, 1050, Elsene",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BE0808197268,,"Abeille Epargne Retraite","Avenue Louise, 231, 1050, Elsene",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BE0808167178,,"Abeille Vie Société Anonyme d'Assurances Vie et de Capitalisation","Louizalaan, 231, 1050, Elsene",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BE0401697190,549300HNMLZPB76O4D86,"ABSB","Rue 't Serstevens(THN), 61B, 6530, Thuin",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
BE0758632842,699400GVF1570ZK5NJ34,"Accelerant Insurance Europe","59, Place du Champ de Mars, 5, 1050, Ixelles",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BE0428438211,549300JWXGG82YCEWW94,"ACM Belgium","Koning Albert II-laan, 2, 1000, Brussel",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BE0839960909,,"AFI ESCA","Chaussée de Nivelles, 81, 1420, Braine-l'Alleud",vida,FR548502517                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
