CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BG200251454,,"AIG EUROPE S.A. (BULGARIA BRANCH)","Izgrev Dist., 3B, NIKOLAY HAYTOV Str., 1113, Sofia",no-vida,LURCSB0218806                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG121076907,549300YJ8EYSOGWKSN48,"ARMEEC INSURANCE JSC","Lozenets Dist., 51, Dzheyms Baucher Blvd., 1407, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
BG204708066,,"Atradius Credito y Caucion S.A. de Seguros y Reaseguros branch Bulgaria","Studentski Dist., 79, G.M. Dimitrov Blvd., 1172, Sofia",no-vida,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
BG202091075,,"AWP P&C S.A., branch Bulgaria","Lozenets Dist., 16, Srebarna Str., 1407, Sofia",no-vida,FR519490080                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BG131039664,894500V588WUNQG29D77,"Axiom Insurance Company","Triaditsa Dist., 150, Vitosha Blvd., floor 1, 1233, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
BG207459862,9845008I5F5B7EF9CD39,"Barents Insurance","Triaditsa Dist., 7-9, Uzundzhovska Str., floor 3, ofis 9, 1407, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BG831830482,549300RF3GS8JN4LYJ05,"BUL INS","Lozenets Dist., 87, Dzheyms Baucher Str., 1407, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG131233651,529900RVMVFMR0I4B649,"BULGARIA INSURANCE","Vitosha Dist., 110, BALGARIYa Str., ent. V, floor 3, 1618, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BG121769212,549300M2O3C4LK0E0S28,"BULGARIAN EXPORT INSURANCE AGENCY /BAEZ/","Vazrazhdane Dist., 55, ALEKSANDAR STAMBOLIYSKI Blvd., floor 1, 1000, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BG831211284,549300RLAVC923B23203,"BULSTRAD LIFE VIENNA INSURANCE GROUP","Vazrazhdane Dist., 6, SVETA SOFIYa Str., 1301, Sofia",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BG000694286,549300X77HR0ZWZGRM25,"Bulstrad Vienna Insurance Group","Triaditsa Dist., 5, Pozitano Sq., 1000, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG175190073,,"CARDIF INSURANCE, BULGARIA BRANCH","Sredets Dist., 29, Hristo Belchev Str., floor 1-3, 1000, Sofia",no-vida,FR308896547                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BG175190059,,"CARDIF LIFE INSURANCE, BULGARIA BRANCH","Sredets Dist., 29, Hristo Belchev Str., ent. A, floor 1-3, 1000, Sofia",vida,FR732028154                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
BG175412887,549300NIZDXJEXZB0X88,"CCB LIFE","Sredets Dist., 2, STEFAN KARADZhA Str., 1000, Sofia",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BG204603407,,"COLONNADE INSURANCE S.A. – BULGARIA BRANCH","Lozenets Dist., 51B, biznes tsentar FearPley Interneshanal, Cherni vrah Blvd., floor 2, 1407, Sofia",no-vida,LURCSB0061605                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BG200325896,,"Compagnie francaise d assurance pour le commerce exterieur SA – Branch Bulgaria","Lozenets Dist., 76A, Dzheyms Baucher Blvd., floor 7, 1407, Sofia",no-vida,FR552069791                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BG121518328,549300MX2PROXGWGIU32,"DZI - LIFE INSURANCE JSC","Triaditsa Dist., 89B, VITOShA Blvd., 1463, Sofia",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BG121718407,54930013N9UAHQSBHU73,"DZI General Insurance EAD","Triaditsa Dist., 89B, Vitosha Blvd., 1463, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BG121265113,747800G0B61WF68GDU20,"EUROINS INSURANCE PLC","Iskar Dist., 43, Hristofor Kolumb Blvd., 1592, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BG207840144,98450036DH4C3A42A091,"Fenix Insurance","Mladost Dist., 115 E, Tsarigradsko shose Blvd., floor 4, 1784, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BG200103397,4851008VM880XU0HMP06,"Fi Health Insurance AD","Studentski Dist., 2, Prof. Aleksandar Fol Str., ent. B, 1784, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BG030269049,549300653TZ0D0FUJ832,"GENERALI INSURANCE AD","Oborishte Dist., KNYaZ ALEKSANDAR DONDUKOV 68 Blvd., 1504, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BG200270243,31570030000000000356,"GP REINSURANCE","Oborishte Dist., 68, KNYaZ AL. DONDUKOV Blvd., 1504, Sofia",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BG130321963,52990030EUABXDBIN325,"GRAWE Bulgaria Jivotozastrahovane","Krasno selo Dist., 1, TsAR BORIS III Blvd., 1612, Sofia",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BG201483148,529900PJV0YSY7GUD845,"GRAZER WECHSELSEITIGE VERSICHERUNG AG, ZWEIGNIEDER LASSUNG FUR BULGARIEN SOFIA","Krasno selo Dist., 1, TsAR BORIS III Str., 1612, Sofia",no-vida,AT0000017278936                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BG131421443,549300HDXX3H0XC78588,"GROUPAMA ZASTRAHOVANE EAD","Sredets Dist., 47A, Tsarigradsko shose Blvd., floor 3, 1124, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BG131272330,549300RKCUGFCM2U8M57,"GROUPAMA ZHIVOTOZASTRAHOVANE EAD","Sredets Dist., 47A, Tsarigradsko shose Blvd., floor 3, 1124, Sofia",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BG203066057,529900GUHEAD91TPYN09,"INSURANCE COMPANY ASSET INSURANCE AD","Vazrazhdane Dist., 35, Shar planina Str., 1303, Sofia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BG175436411,747800D0U7JDY77OKW93,"INSURANCE COMPANY EUROINS LIFE","Iskar Dist., 43, Hristofor Kolumb Blvd., 1592, Sofia",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
