CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CYO2631,,"AIG EUROPE S.A.","26, ESPERIDON, 2001, Nicosia",,LURCSB0218806                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CYO2847,,"ALLIANZ EVROPAIKI PISTI MONOPROSWPI ANWNYMI ASFALISTIKI ETAIRIA","P.O. , Gregorios Afxentiou Street, 1389, Nicosia",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CYOT2002,,"ALLIANZ GLOBAL LIFE DAC","",vida,IEC50495                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CYC55144,529900NW9DIBM41WYE72,"ALTIUS INSURANCE LTD","KENNEDY AND STASINOU,52, 2002, NICOSIA",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CYC354883,213800C4MZ2GF4ZINM93,"AMERICAN STEAMSHIP OWNERS MARINE INSURANCE COMPANY (EUROPE) LTD","Kallitheas Street 4, Imperial House, 2nd floor, Office 202, 3086 Limassol, 3086, LIMASSOL",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CYC29805,2138004X3TKZETJ8O713,"ANCORIA INSURANCE PUBLIC LTD","36 Laodikeias2028 Strovolos, 2028, Strovolos",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CYC19119,213800MSCY3HKK7N1E56,"ASFALISTIKH ETAIREIA H KENTRIKH","33 KLIMENTOS1061 LEFKOSIANICOSIA, 1061, LEFKOSIA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CYC20008,213800ZUWYFW5BADU685,"ATLANTIC INSURANCE COMPANY PUBLIC LTD","15, ESPERIDON, 2001, STROVOLOS",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CYC6165,213800TNKQZZSH1EYL11,"COMMERCIAL GENERAL INSURANCE LTD","101 ARCHIEPISKOPOU MAKARIOU III AVCOMMERCIAL UNION, 1071, LEFKOSIA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CYC16361,2138006PEHZTJLNAPC69,"COSMOS INSURANCE PUBLIC CO LTD","46 GRIVA DIGENI COSMOS TOWER1080 LEFKOSIANICOSIA, 1080, LEFKOSIA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CYC2377,213800VD9CKWO4QCUK72,"CYPRUS HIRE RISKS POOL","23A, ZINONOS SOZOU, 1075, Nicosia",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CYC15555,635400OJWQDTW9KI2E51,"ERB ASFALISTIKI LIMITED","17 AKROPOLEOSSTROVOLOS  NICOSIA2006 STROVOLOS, 2006, STROVOLOS",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CYC46532,549300E1TVPTEUKMTJ15,"ERB CYPRIALIFE LTD","ACROPOLEOS, 17, 2006, STROVOLOS",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CYC36247,213800L4M9OJU4FHVI96,"EUROLIFE LIMITED","4 EVROU2003 STROVOLOSNICOSIA, 2003, STROVOLOS",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CYC44782,529900KY452NCGGOW332,"EUROSURE INSURANCE COMPANY LIMITED","5, LEMESOU AVENUE, 2112, Nicosia",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
