CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CZ47115971,5299007KUKZ04LK29K58,"Allianz pojišťovna, a.s.","Ke Štvanici 656/3, 18600, Praha 8",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CZ05568633,,"Atradius Crédito y Caución S.A. de Seguros y Reaseguros, pobočka pro Českou republiku","Karolinská 661/4, 18600, Praha 8",no-vida,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CZ27633900,315700TK9FQAIWTZYR35,"AWP P&C Česká republika - odštěpný závod zahraniční právnické osoby","Jankovcova 1596/14b, 17000, Praha 7",no-vida,FR519490080                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CZ25080954,2138002BJWNWW7MFZ169,"BNP Paribas Cardif Pojišťovna, a.s.","Boudníkova 2506/1, 18000, Praha 8",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CZ70099618,31570010000000041514,"Česká kancelář pojistitelů","Milevská 2095/5, 14000, Praha 4",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CZ63998530,31570010000000066831,"Česká podnikatelská pojišťovna, a.s., Vienna Insurance Group","Pobřežní 665/23, 18600, Praha 8",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CZ27893723,,"Chubb European Group SE, organizační složka","Pobřežní 620/3, 18600, Praha 8",no-vida,FR450327374                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CZ04485297,,"Colonnade Insurance S.A., organizační složka","Na Pankráci 1683/127, 14000, Praha 4",no-vida,LURCSB0061605                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CZ27941906,,"COMPAGNIE FRANCAISE D´ ASSURANCE POUR LE COMMERCE EXTERIEUR organizační složka Česko","Štětkova 1638/18, 14000, Praha 4",no-vida,FR552069791                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CZ23078332,,"Credendo - Trade Credit Insurance, česká pobočka","Na Pankráci 1683/127, 14000, Praha 4",no-vida,BE0867435663                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CZ45534306,315700Q1S8O1UORF9700,"ČSOB Pojišťovna, a. s., člen holdingu ČSOB","Masarykovo náměstí 1458, 53002, Pardubice",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CZ25073958,315700S44MYP53HP8S79,"Direct pojišťovna, a.s.","Nové sady 996/25, 60200, Brno",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
