CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
DEB0EIP,529900V9R8J4XYNT1841,"ACM Lebensversicherung AG","Breite Straße 29, 40213, Düsseldorf",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
DEB0EIM,529900TW278P9KB86J07,"ACM Versicherung AG","Breite Straße 29, 40213, Düsseldorf",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
DEA3MSD,391200RR4CQ95UOUKE30,"ADAC Autoversicherung AG","Hansastraße 19, 80686, München",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
DEA4PM6,5299003QTHVXA83SA908,"ADAC Versicherung AG","Hansastraße 19, 80686, München",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
DEB1CXD,529900LEAN8CQK1OYZ02,"ADAC Zuhause Versicherung AG","Hansastraße 19, 80686, München",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEA49QM,529900FO3E999N20HV65,"ADLER Versicherung AG","Joseph-Scherer-Straße 3, 44139, Dortmund",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DEA3DRJ,549300X1WWPGMS47QQ72,"ADVOCARD Rechtsschutzversicherung AG","10 64, Überseering 2, 22297, Hamburg",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DEA4S8I,391200RYHJNPNHIGWB84,"AEGIDIUS SE","Breite Straße 4, 30159, Hannover",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DEALI3O,,"Aegon, Niederlassung Deutschland der Aegon Ireland Plc.","Ulmenstraße 23-25, 60325, Frankfurt am Main",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DEAXKK3,,"Aeneas Verwaltungsgesellschaft mbH","Königinstraße 28, 80802, München",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DEAXRWX,3912006MY9IHGZ3WGQ96,"AGER Lebensversicherung AG","Colonia-Allee 15, 51067, Köln",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DEA4Q92,391200FS1XOC1H55LS42,"AGILA Haustierversicherung Aktiengesellschaft","Hanomaghof 2, 30449, Hannover",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEADIBP,,"AIG Europe Limited Direktion für Deutschland","Speicherstraße 55, 60327, Frankfurt am Main",no-vida,LURCSB0218806                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DEAFVR1,,"Aioi Nissay Dowa Insurance Company of Europe Limited, Niederlassung Deutschland","Carl-Zeiss-Ring 25, 85737, Ismaning",no-vida,LURCSB0232302                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DEA4NQ3,3912008URQQCWTNXTA91,"Aioi Nissay Dowa Life Insurance of Europe Aktiengesellschaft","Carl-Zeiss-Ring 25, 85737, Ismaning",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DEALILK,391200VRYUQOVD4IHC69,"Allcura Versicherungs-Aktiengesellschaft","11 23, Schauenburgerstraße 27, 20095, Hamburg",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
DEA4T0X,5299008FXA9QQZ79GM59,"Allianz Direct Versicherungs-AG","Königinstraße 28, 80802, München",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
DEA00PQ,F240A7PWJB2BLKELB442,"Allianz Global Corporate & Specialty SE","Königinstraße 28, 80802, München",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
DEALI3N,,"Allianz Global Life Limited (Niederlassung Deutschland)","Reinsburgstraße 19, 70178, Stuttgart",vida,IEC50495                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DEA056W,529900Z5H1N62JMB3K96,"Allianz Lebensversicherungs-Aktiengesellschaft","10 60, Heßbrühlstraße 2, 70565, Stuttgart",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DEA4FEG,529900APQGQWPAT1YI78,"Allianz Private Krankenversicherungs-Aktiengesellschaft","11 14, Königinstraße 28, 80802, München",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DEA02WZ,529900K9B0N5BT694847,"Allianz SE","44 01, Königinstraße 28, 80802, München",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DEA3EPZ,529900X5FHSYN4P5R285,"Allianz Versicherungs-Aktiengesellschaft","44 01, Königinstraße 28, 80802, München",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
DEA5A6M,529900INDQW49BWR5028,"Alte Leipziger Lebensversicherung auf Gegenseitigkeit","16 60, Alte Leipziger-Platz 1, 61440, Oberursel",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DEA3EKR,529900AXMIMC6C3K9F07,"Alte Leipziger Versicherung Aktiengesellschaft","16 60, Alte Leipziger-Platz 1, 61440, Oberursel",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DEA3HOJ,5299009TPBQY7Z8O6646,"ALTE OLDENBURGER Krankenversicherung AG","1363, Alte-Oldenburger-Platz 1, 49377, Vechta",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DEALI4L,52990036APY0QFUTCD48,"ALTE OLDENBURGER Krankenversicherung von 1927 Versicherungsverein auf Gegenseitigkeit","13 63, Alte-Oldenburger-Platz 1, 49377, Vechta",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DEAH4JT,391200PLULXEI0JAMH16,"Ambra Versicherung AG","Stemmerstraße 14, 78266, Büsingen am Hochrhein",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DEAAVTY,,"Amlin Insurance SE- Direktion für Deutschland","Axel-Springer-Platz 3, 20355, Hamburg",no-vida,GB0ECBM11870                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEALILI,391200INTIFGR1FFUZ22,"AMMERLÄNDER VERSICHERUNG Versicherungsverein a.G. (VVaG)","1228, Bahnhofstraße 8, 26655, Westerstede",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DEALIL6,,"AMT Mortgage Insurance Limited, Niederlassung Deutschland","Martin-Behaim-Straße 22, 63263, Neu-Isenburg",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DEALIMK,,"Ancora Versicherungs-Aktiengesellschaft i.L.","Mönkedamm 15, 20457, Hamburg",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DEAMFJV,529900K28U95PRDLQO62,"andsafe Aktiengesellschaft","Provinzial-Allee 1, 48159, Münster",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DEA3G3W,3912006MZNEOF4M2XK19,"ARAG Allgemeine Versicherungs-Aktiengesellschaft","30 01, ARAG Platz 1, 40472, Düsseldorf",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
DEA3MXU,391200SFAXHRCQQ62T14,"ARAG Krankenversicherungs-Aktiengesellschaft","Hollerithstraße 11, 81829, München",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DEA3J2C,391200QKNZJ8J1XWFE16,"ARAG SE","30 01, ARAG Platz 1, 40472, Düsseldorf",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DEALI57,,"Arch Insurance Company (Europe) Ltd. Direktion für Deutschland","Herrlichkeit 5-6, 28199, Bremen",no-vida,GB0ECBM06029                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
DEALI3L,,"Aspecta Assurance International Luxembourg S.A. - Niederlassung für Deutschland","HDI-Platz 1, 30659, Hannover",vida,LURCSB0073935                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DEALILJ,,"Aspen Insurance UK Limited Zweigniederlassung für Deutschland","Im Mediapark 8, 50670, Köln",no-vida,GB0ECBM05039                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DEAHVAV,,"Assurant Allgemeine, Zweigniederlassung der Assurant General Insurance Ltd.","Lyoner Straße 15, 60528, Frankfurt am Main",no-vida,GB0ECBM11417                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DEA53Y9,529900HDQLXC7DHNG420,"Astra Versicherung AG","Dudenstraße 46, 68167, Mannheim",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DEA489W,39120067QNJJGMKA1A15,"Athora Lebensversicherung Aktiengesellschaft","15 20, Söhnleinstraße 8, 65201, Wiesbaden",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
DEALHYW,,"Atradius Collections B.V. Niederlassung Deutschland","Opladener Straße 14, 50679, Köln",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DEALHYT,,"Atradius Kreditprüfung, Niederlassung der Atradius Information Services B.V.","Opladener Str. 14, 50679, Köln",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
