CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
DK74757219,,"AALBORG KOMMUNES GRUPPELIV","Rantzausgade 6, 9000, Aalborg",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DK35814280,894500JK46E2B5J2PI54,"AGRIA DYREFORSIKRING, FILIAL AF FÖRSÄKRINGSAKTIEBOLAGET AGRIA (PUBL), SVERIGE","Parkvej 1, 2680, Solrød Strand",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DK39475723,,"AIG Europe, dansk filial af AIG Europe S.A., Luxembourg","Bryggernes Plads 2, 1799, København V",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DK31227216,,"ALLIANZ GLOBAL CORPORATE & SPECIALTY, FILIAL AF ALLIANZ GLOBAL CORPORATE & SPECIALTY SE, TYSKLAND","Pilestræde 58, 1112, København K",no-vida,DEA00PQ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
DK10526949,549300PLP6WVTICKLD32,"Alm. Brand Forsikring A/S","Midtermolen 7, 2100, København Ø",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DK21064440,5299004F7KE1I17H2403,"ALPHA INSURANCE A/S","Harbour House, Sundkrogsgade 21, 2100, København Ø",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DK39997673,549300PPWMW0XU3OXQ08,"Amorta Arbejdsskadesforsikringsselskab A/S","Farvervej 1, 8800, Viborg",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
DK18530899,549300QWT4T6XMTVKW98,"AP Pension Livsforsikringsaktieselskab","Østbanegade 135, 2100, København Ø",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DK37624780,549300BM6R6XRQNSL589,"Arbejdsmarkedets Erhvervssikring (AES)","Kongens Vænge 8, 3400, Hillerød",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DK35992715,5493002XRHBGA8514V43,"Aros Forsikring - gensidigt forsikringsselskab","Viby Ringvej 4, 8260, Viby J",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
