CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
EE11223507,,"AAS BTA Baltic Insurance Company Eesti filiaal","Lõõtsa tn 2b, 11415, Tallinn",no-vida,LV40103840140                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
EE12831829,,"AB “Lietuvos draudimas“ Eesti filiaal","Pärnu mnt 141, 11314, Tallinn",no-vida,LT110051834                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
EE11193232,,"Akciné draudimo bendrové 'Gjensidige ' Eesti filiaal","Veskiposti tn 2/1, 10138, Tallinn",no-vida,LT110057869                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
EE11948506,549300WW5DJH942O0269,"Aktsiaselts KredEx Krediidikindlustus","Sepise tn 7, 11415, Tallinn",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
EE14973611,254900MBQTBOMPBFJN15,"AS LHV Kindlustus","Tartu mnt 2, 10145, Tallinn",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
EE16783777,,"Balcia Insurance SE Eesti filiaal","Valukoja tn 10, 11415, Tallinn",no-vida,LV40003159840                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
EE10055769,549300B2IA6I1Y8Q4C17,"Compensa Life Vienna Insurance Group SE","Narva mnt 63/2, 10120, Tallinn",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
EE12970620,5299002BUV9F75DE3H63,"Compensa Vienna Insurance Group, ADB Eesti filiaal","Maakri tn 19/1, 10145, Tallinn",no-vida,LT304080146                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
EE10089395,5299009CEFOJNUSUBR38,"Elama Kindlustus AS","Liivalaia tn 45, 10145, Tallinn",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
EE10017013,549300WOSFHL8FRS5V57,"ERGO Insurance SE","Veskiposti tn 2/1, 10138, Tallinn",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
EE12025488,,"ERGO Life Insurance SE Eesti filiaal","Veskiposti tn 2/1, 10138, Tallinn",compuestos,LT110707135                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
EE10100168,549300WQ8BOTIZIGNO29,"If P&C Insurance AS","Lõõtsa tn 8a, 11415, Tallinn",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
EE14387209,,"If P&C Insurance Ltd (publ) Eesti filiaal","Lõõtsa tn 8a, 11415, Tallinn",no-vida,SE5164018102                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
EE80206477,254900RQAPQ6GJIUGQ06,"mittetulundusühing Eesti Liikluskindlustuse Fond","Mustamäe tee 46, 10621, Tallinn",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
EE10284984,529900JIJRUSGYDVSN42,"Salva Kindlustuse AS","Pärnu mnt 16, 10141, Tallinn",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
EE14857106,,"SEB Life and Pension Baltic SE Eesti filiaal","Tornimäe tn 2, 10145, Tallinn",compuestos,LV40003012938                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
EE10142356,549300GIM4IGDZJ1Y680,"Swedbank Life Insurance SE","Liivalaia tn 34, 15040, Tallinn",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
EE11269248,549300COKVF1F6XUVV29,"Swedbank P&C Insurance AS","Liivalaia tn 34, 15040, Tallinn",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
EE14365946,,"Telia Försäkring AB Eesti filiaal","Mustamäe tee 3, 10615, Tallinn",no-vida,SE5164018490                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
EE16836083,,"UAB Artea Life Insurance Eesti filiaal","Keemia tn 4, 10616, Tallinn",vida,LT110081788                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
