CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESG28177657,213800AEQ6JQDLCWQN31,"A.M.A., AGRUPACIÓN MUTUAL ASEGURADORA, MUTUA DE SEGUROS A PRIMA FIJA","Parque Empresarial CRISTALIA. Edificio 4. Vía de los Poblados 4., 28033, Madrid",no-vida,,"M0328"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESB14715270,959800P1TEVUVV7YZZ92,"ABANCA GENERALES DE SEGUROS Y REASEGUROS, S.A.","AVDA DE LINARES RIVAS, 30, 15005, A CORUÑA",no-vida,,"C0808"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESA15140387,95980020140005677005,"ABANCA VIDA Y PENSIONES DE SEGUROS Y REASEGUROS, S.A","AV. DE LA MARINA 1, 15001, Coruña (A)",compuestos,,"C0628"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESW0070796H,529900RBX9PMU7WQTE30,"ACCELERANT INSURANCE EUROPE, SUCURSAL EN ESPAÑA","CALLE BARCELÓ 1, 28004, MADRID",no-vida,BE0758632842,"E0245"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESA87987822,959800M6LM4PWZTSFZ59,"ADMIRAL EUROPE, COMPAÑÍA DE SEGUROS, S.A.","CL RODRÍGUEZ MARÍN Nº 61 61,, 28016, MADRID",no-vida,,"C0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESA15003619,549300CUCUP9990FPP88,"AEGON ESPAÑA, SOCIEDAD ANÓNIMA DE SEGUROS Y REASEGUROS","C/ Vía de los Poblados 3., 28033, Madrid",compuestos,,"C0789"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESA87254090,9598001DQ7U3BQJEEZ51,"AGROPELAYO SOCIEDAD DE SEGUROS, SOCIEDAD ANÓNIMA","RONDA NARCISO MONTURIOL 6, 46980, PATERNA",no-vida,,"C0802"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESA28005312,959800Q4E6X0KYM3AL64,"AGRUPACION SANITARIA SEGUROS, S.A.","AV DE ALFONSO X EL SABIO 14, 03004, ALICANTE",no-vida,,"C0437"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESW0186206I,,"AIG EUROPE S.A. SUCURSAL ESPAÑA","PASEO DE LA CASTELLANA 216, 28046, MADRID",no-vida,LURCSB0218806,"E0226"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESW0060072F,,"AIOI NISSAY DOWA INSURANCE COMPANY OF EUROPE SE SUC ESPAÑA","AVDA BRUSELAS 22.PLANTA, 28108, ALCOBENDAS",no-vida,LURCSB0232302,"E0176"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
