CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FI21265817,,"ACE Europe Life SE, branch in Finland","Museokatu 8, 00100, HELSINKI",no-vida,FR497825539                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FI29226927,,"AIG Europe S.A., branch in Finland","Kasarmikatu 44, 00130, HELSINKI",no-vida,LURCSB0218806                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FI09370067,743700R78CJAROKAO614,"Aktia Livförsäkring Ab","PB 80, Artillerigatan 4 A, 20520, TURKU",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FI01450652,7437002BQXUOXHQ1T090,"Alandia Försäkring Abp","PL 12, Ålandsvägen 31, 22100, MARIEHAMN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FI31256762,743700UB5XCW7H1FC113,"Ålands Försäkringar Ab","Köpmansgatan 6, 22100, MARIEHAMN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FI01450820,7437008CXP8UX8KITQ76,"Ålands Ömsesidiga Försäkringsbolag","PB 64, KÖPMANSGATAN 6, 22100, MARIEHAMN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FI18090227,63670063UXZD0SCP4X40,"Anticimex Försäkringar AB filial i Finland","Uutistie 3 C, 01770, VANTAA",no-vida,SE5020008958                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FI31347795,,"Assuranceforeningen Gard - gjensidig -, filial i Finland","Bulevarden 46, 00120, HELSINKI",,NOECBM2707677                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FI27724295,,"Atradius Crédito y Caución S.A. de Seguros y Reaseguros, Suomen sivuliike","Mannerheimintie 4, 00100, HELSINKI",no-vida,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FI29226492,,"AXA France IARD - Sivuliike - Suomi","PL 67, 00501, HELSINKI",no-vida,FR722057460                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
FI29225158,,"AXA France VIE - Sivuliike - Suomi","PL 67, 00501, Helsinki",vida,FR310499959                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
FI18550342,,"Chubb European Group SE, sivuliike Suomessa","Museokatu 8, 00100, HELSINKI",no-vida,FR450327374                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FI02233801,743700C9PA8HMGKZDC26,"Etelä-Suomen kalastusvakuutusyhdistys","William Ruthin katu 6, 48600, KOTKA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FI24324667,,"Euler Hermes Europe SA/NV., Suomen sivuliike","Konepajankuja 1, 00510, HELSINKI",no-vida,BE0403248596                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FI20825341,549300XL7XWI5YH3FY27,"Fennia Henkivakuutus Oy","PL 15, Kyllikinportti 2, 00240, HELSINKI",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
FI27446117,6367006XXDV3UQ2MFH86,"Försäkringsaktiebolaget Agria (publ), filial i Finland","Skogsjungfrugränden 6, 02130, ESPOO",no-vida,SE5164018003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
FI31351348,,"Gard Marine & Energy Insurance (Europe) AS, filial i Finland","Bulevarden 46, 00120, HELSINKI",,NOECBM2707669                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
FI31378997,,"HELP Forsikring AS, Suomen sivuliike","Erottajankatu 5 A, 00130, HELSINKI",,NO0ECBM00903                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
FI33895883,,"If Livförsäkring AB, filial i Finland","Keilasatama 2, 02150, ESPOO",,SE5164060252                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FI16021498,,"If Vahinkovakuutus Oyj, Suomen sivuliike","PL 10, Keilasatama 2, 02150, ESPOO",no-vida,SE5164018102                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FI01968267,7437003I83168NH5GN58,"Keskinäinen Vakuutusyhtiö Fennia","Kyllikinportti 2, 00240, HELSINKI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FI02006289,743700FOO55TS7TZMN24,"Keskinäinen Vakuutusyhtiö Kaleva","PL 34, Bulevardi 56, 00120, HELSINKI",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FI02116955,7437005730K4VWWANF03,"Keskinäinen Vakuutusyhtiö Turva","PL 11, JÄRVENSIVUNTIE 3, 33100, TAMPERE",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FI34492728,,"kmh-sales Oy","Kalliolanrinne 4 A, 00510, HELSINKI",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FI01395577,743700V0RL1FK9EMMP92,"LähiTapiola Etelä Keskinäinen Vakuutusyhtiö","Turuntie 8, 24100, SALO",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FI01782817,743700TFMHWYR2FRNE02,"LähiTapiola Etelä-Pohjanmaa Keskinäinen Vakuutusyhtiö","Kauppakeskus EPS-tori, Kauppakatu 5, 60100, SEINÄJOKI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FI22464420,743700WAGCQSH19SXH62,"LähiTapiola Itä Keskinäinen Vakuutusyhtiö","Riistakatu 11, 74100, IISALMI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FI02259075,743700M7L81L9AU27N50,"LähiTapiola Kaakkois-Suomi Keskinäinen Vakuutusyhtiö","Kauppakatu 40, 53100, LAPPEENRANTA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FI02103396,743700Q28VNGSXBBMC79,"LähiTapiola Kainuu-Koillismaa Keskinäinen Vakuutusyhtiö","Kauppakatu 16, 87100, KAJAANI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FI02084631,743700YRZ7K0BP5P0T23,"LähiTapiola Keski-Suomi Keskinäinen Vakuutusyhtiö","Vapaudenkatu 47, 40100, JYVÄSKYLÄ",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FI02013198,7437009MZCJZV9CNZC22,"LähiTapiola Keskinäinen Henkivakuutusyhtiö","Revontulenkuja 1, 02010, LÄHITAPIOLA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
FI02110342,743700CYELIITVDWUZ26,"LähiTapiola Keskinäinen Vakuutusyhtiö","Revontulenkuja 1, 02010, LÄHITAPIOLA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FI01340998,743700JS3V6YQNVMLL54,"LähiTapiola Länsi-Suomi Keskinäinen Vakuutusyhtiö","Gallen-Kallelankatu 9, 28100, PORI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
FI02770017,743700QYQLCYOC3SYM20,"LähiTapiola Lappi Keskinäinen Vakuutusyhtiö","Rovakatu 27, 96200, ROVANIEMI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FI01348594,743700XNFX6X8SZOJS85,"LähiTapiola Loimi-Häme Keskinäinen Vakuutusyhtiö","Aleksis Kiven katu 7, 32200, LOIMAA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
FI26473391,743700LU203VY69R1M02,"LähiTapiola Pääkaupunkiseutu Keskinäinen Vakuutusyhtiö","PL 18, Fredrikinkatu 48 A, 00520, HELSINKI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
FI02058433,743700IYZYKORZE95W29,"LähiTapiola Pirkanmaa Keskinäinen Vakuutusyhtiö","Itsenäisyydenkatu 11, 33500, TAMPERE",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
FI01809530,743700MQAR0VNAT4PM24,"LähiTapiola Pohjanmaa Keskinäinen Vakuutusyhtiö","Handelsesplanaden 19-21, 65100, VAASA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FI22355507,743700PG1HA3AXLMPY76,"LähiTapiola Pohjoinen Keskinäinen Vakuutusyhtiö","Kirkkokatu 9, 90100, OULU",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FI17595979,743700YGRMUVA6DLOR84,"LähiTapiola Savo Keskinäinen Vakuutusyhtiö","Puutarhakatu 6, 70300, KUOPIO",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
FI02186128,743700A80ETKKVIVM442,"LähiTapiola Savo-Karjala Keskinäinen Vakuutusyhtiö","Raatihuoneenkatu 2 B, 50100, MIKKELI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FI02244690,743700K77GCWC6ZU9H96,"LähiTapiola Uusimaa Keskinäinen Vakuutusyhtiö","Piispankatu 30, 06100, PORVOO",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FI02040671,74370037R43LL9EJDP62,"LähiTapiola Varsinais-Suomi Keskinäinen Vakuutusyhtiö","Yliopistonkatu 14 A, 20100, TURKU",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FI02822833,743700Q1T1YPE8JL1W21,"LähiTapiola Vellamo Keskinäinen Vakuutusyhtiö","Aleksanterinkatu 10, 15110, LAHTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FI02016209,,"Liikennevakuutuskeskus","Itämerenkatu 11-13, 00180, HELSINKI",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FI01359875,74370011VLA7IR8Y9265,"LokalTapiola Sydkusten Ömsesidigt Försäkringsbolag","Strandvägen 2 a, 21600, PARAINEN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FI06411302,743700YZJJL0X6MH2U02,"Mandatum Henkivakuutusosakeyhtiö","PL 62, Bulevardi 56, 00120, HELSINKI",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FI09270728,529900K08EYX3I3MTH59,"Nordea Henkivakuutus Suomi Oy","Kaisaniemenkatu 6 A, 00100, HELSINKI",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FI28684408,7437002CRHMXZ1FNUA72,"Nordea Vakuutus Suomi Oy","Kaisaniemenkatu 6 A, 00100, HELSINKI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
FI20192580,,"Nordic Guarantee Försäkringsaktiebolag, Filial Finland","Äyritie 12 A, 01510, VANTAA",no-vida,SE5164060112                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FI33436142,,"Nordnet Livsforsikring AS Suomen sivuliike","Yliopistonkatu 5, 00100, HELSINKI",,NOECBM2707982                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FI02035725,7437009M0JA8MO0ZTQ52,"Nylands fiskeriförsäkringsförening","PB 16, Torngatan 4 A, 10600, TAMMISAARI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FI10300592,K6NX7NP0EJL26FIJCC10,"OP-Henkivakuutus Oy","PL 30, Gebhardinaukio 1, 00510, HELSINKI",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FI02168253,743700FHVK8BCVUHV251,"Österbottens fiskeriförsäkringsförening","Fiskets Hus, Fiskstranden, 65100, VAASA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FI01469054,743700VTO3MAP85U2251,"Pohjantähti Keskinäinen Vakuutusyhtiö","PL 16, Raatihuoneenkatu 19, 13100, HÄMEENLINNA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
FI14583593,O6RFZVP3OLOFXEMOII59,"Pohjola Vakuutus Oy","PL 30, Gebhardinaukio 1, 00510, HELSINKI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
FI26224109,529900GCKVLBV1USVY53,"Protector Forsikring ASA, filial Finland","Kalevankatu 30, 00100, HELSINKI",no-vida,NO0ECBM00705                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
FI01374127,,"Satakunnan kalastusvakuutusyhdistys","Valkkimyllynkuja 2, 20540, TURKU",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
FI15939141,743700EZU59J3N5CE989,"Sijoittajien Korvausrahasto","Itämerenkatu 11-13, 00180, HELSINKI",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
FI17143446,,"Solid Försäkringsaktiebolag, Suomen sivuliike","Kalevankatu 13 A, 00100, HELSINKI",no-vida,SE5164018482                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FI26440442,,"Streamline Consulting House Oy","Hakomäentie 2, 60510, HYLLYKALLIO",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FI24469380,743700YOMCDC16T7P495,"Suomen Keskinäinen Lääkevahinkovakuutusyhtiö","Hämeentie 19, 00500, HELSINKI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FI31461379,743700C0NTLCB8CNAA86,"Suomen Keskinäinen Potilasvakuutusyhtiö","Annankatu 12 A, 00120, HELSINKI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FI24328246,743700CBL1VDCDARTF27,"Suomen Vahinkovakuutus Oy","Hevosenkenkä 3, 02600, ESPOO",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
FI24749788,,"T. Lydman & Sons Ab Oy","Videstigen 4 B, 02770, ESPOO",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
FI19471988,,"Tryg Forsikring A/S, filial i Finland","Aleksanterinkatu 17, 00100, HELSINKI",no-vida,NL2118020                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FI09471183,549300W61RSOI5RXVE07,"Vakuutusosakeyhtiö Bothnia International","Ruoholahdenkatu 8, 00180, HELSINKI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FI09445241,74370007U79OT35QGA21,"Vakuutusosakeyhtiö Garantia","PL 60, Kasarmikatu 21 B, 00130, HELSINKI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
FI14960598,743700IF63Q0466FN058,"Vakuutusosakeyhtiö Henki-Fennia","Kyllikinportti 2, 00240, HELSINKI",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FI01167179,743700Q8PMCNXIMM0R69,"Valion Keskinäinen Vakuutusyhtiö","PL 11, Meijeritie 4, 00370, HELSINKI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FI19965558,,"Zurich Insurance plc. Suomen sivuliike","Eteläesplanadi 22 A, 00130, HELSINKI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
