CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FR803795038,96950029C8LW9CRQOG98,"A2VIP","20 rue de la Baume, 75008, PARIS",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FR378741722,969500MJLHBS12H4XL16,"ABEILLE EPARGNE RETRAITE","70     AV   DE L EUROPE, 92270, BOIS COLOMBES",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
FR306522665,969500BX2FUGUS62C817,"ABEILLE IARD & SANTE","13   RUE  DU MOULIN BAILLY, 92270, BOIS COLOMBES",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
FR732020805,969500JEKMZT5J60K945,"ABEILLE VIE","70   AV  DE L EUROPE, 92270, BOIS COLOMBES",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FR497825539,213800FU3X5BHFGXM871,"ACE EUROPE LIFE SE","31 PLACE DES COROLLES LA TOUR CARPE DIEM, ESPLANADE NORD, 92400, COURBEVOIE",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FR879605350,9695001GU2AOPPIG6N43,"ACHEEL SA","128, RUE DE LA BOETIE, 75018, PARIS",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FR303528442,96950097SXRZBURGKA86,"ACM-VIE","34 RUE DU WACKEN, 67000, STRASBOURG",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FR780004099,969500M21HAZ7ER4YD57,"ACORIS MUTUELLES","6 A 8  VIADUC KENNEDY, 54000, NANCY",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FR493466254,969500JE98TYEIYSNC14,"ACTA ASSURANCE","2-4 RUE DU FOUR A CHAUX, 69009, LYON",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
FR332948546,96950093IJQEZ755P789,"ACTE IARD","14 AVENUE DE L EUROPE ESPACE EUROPEEN DE L ENTREPRISE, 67300, SCHILTIGHEIM",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FR343030748,969500E4Q57OZPQY4Q62,"ACTE VIE","14 AVENUE DE L EUROPE ESPACE EUROPEEN DE L ENTREPRISE, 67300, SCHILTIGHEIM",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
FR893912246,969500MX0MOYK56OZO08,"ADENES EUROPE","18 R HELENE ET FRANCOIS MISSOFFE 18     RUE  HELENE ET FRANCOIS M, 75017, PARIS 17 EME",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FR775627391,969500ZQYW7EC0NNLU83,"Aésio Mutuelle","4 RUE DU GENERAL FOY, 75008, PARIS",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FR548502517,969500IOOE5LWOF6PC19,"AFI ESCA","2 QUAI KLEBER CS 30441, 67008, STRASBOURG CEDEX",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FR380138644,9695004PDWKZPALEQ327,"AFI ESCA IARD","4 SQUARE DUTILLEUL, 59800, LILLE",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FR988426102,969500U1EPWOOS0USY48,"AG2R LA MONDIALE REASSURANCE","14-16, boulevard Malesherbes, 75008, PARIS",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
FR333232270,9695004M014SC6YPY328,"AG2R PREVOYANCE","14-16 BOULEVARD MALESHERBES, 75008, PARIS",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
FR312786163,969500ZR2476EQECWI96,"AGPM ASSURANCES","RUE NICOLAS APPERT QUARTIER SAINTE MUSSE, 83086, TOULON CEDEX 9",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FR330220419,969500601Q999HEBKC27,"AGPM VIE","RUE NICOLAS APPERT QUARTIER SAINTE MUSSE, 83086, TOULON CEDEX 9",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
FR835230129,,"Agria Assurance Animaux","16 RUE MARTEL, 75010, PARIS",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
