CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
GRI148,529900MTV3ZRVVDGPM83,"ACCELERANT INSURANCE EUROPE SA/NV","KOSTI VARNALI  52, 15233, HALANDRI",no-vida,BE0758632842                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
GRI135,,"AIG Europe SA","LEOF. KIFISIAS 119, 15124, Athens",no-vida,LURCSB0218806                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GRI138,,"Allianz Global Life designated activity company","LEOF.KIFISIAS 274, 15232, Chalandri",vida,IEC50495                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
GRI001,529900SUMKB7MEIJWP03,"ALLIANZ HELLAS S.A.","110 Athinon Ave. - Building C, 10442, Athens",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
GRI136,2138003NXSYW5RDBZX03,"ALLILASFALISTIKOS SYNETAIRISMOS IDIOKTITON FORTIGON DIMOSIAS CHRISEOS ASIFA","PALAION PATRON GERMANOY 29, 60100, Katerini",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
GRI123,529900C7FVJ8BF2HQ078,"AlphaLife","PESMAZOGLOY 12-14, 10564, Athens",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
GRI092,,"ARAG (HELLAS) ALLGEMEINE RECHTSSCHUTZ VERSICHERUNGS AG","FEIDIPPIDOY 2, 11526, Athens",no-vida,DEA3J2C                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
GRI030,213800LF4ITTRY44RI10,"ASFALIES G. SIDERIS S.A","3 - 5 Lekka Str., 10563, Athens",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
GRI039,2138004GQLST9XGXXH30,"ATLANTIC UNION S.A.","MESOGEION  71 & ILIDOS 36, 11526, Athens",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
GRI137,,"Atradius Credito Y Caucion S.A. De Seguros Y Reaseguros","KIFISIAS 44, 15125, Athens",compuestos,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
GRI090,,"AWP P&C","PREMETIS 10, 17342, Athens",no-vida,FR519490080                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
GRI141,,"AXA FRANCE IARD","VAS.SOFIAS 23, 10674, Athens",compuestos,FR722057460                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
GRI140,,"AXA FRANCE VIE","VAS.SOFIAS 23, 10674, Athens",vida,FR310499959                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
GRI117,213800V6A1KANB5THF53,"CNP ASFALISTIKI LTD","8 Dragatsaniou Str., 10559, Athens",no-vida,CYC15555                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
GRI104,213800KOZ1PVC8TLM824,"CNP ZOIS S.A.","16 Laodikias Str. & 1-3 Nympheou Str., 11528, Athens",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
GRI142,,"Compagnie Francaise d'Assurance pour le Commerce Exterieur SA (COFACE)","LEOF.KIFISIAS  64, 15125, Maroussi",no-vida,FR552069791                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
GRI048,549300PBNQ5382X7W827,"CREDIT AGRICOLE LIFE INSURANCE SINGLE MEMBER S.A.","FILELLINON 25, 10557, Athens",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
GRI121,213800A4QU5SW3AUG251,"DEYTEROS ALLHLASFALISTIKOS SYNETAIRISMOS EP. ID. AYT/TON D.X. B. ELLADOS & THESSALIAS SYN PE","GIANNITSON 244, 17564, Thessaloniki",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
GRI044,213800LN3WTFZCZNSQ51,"DYNAMIS S.A.","320 Sygrou Ave., 15124, Athens",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
GRI133,2138006XWOIMAU9JMA94,"ELLINIKOS ALLILASFALISTIKOS SYNETAIRISMOS IDIOKTITON OCHIMATON DIMOSIAS KAI IDIOTIKIS CHRISEOS (SYN.PE.)","ER. STAYROY 68, 65403, Kavala",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
GRI028,529900UQZRIC761SRM91,"ERGO INSURANCE COMPANY SINGLE MEMBER S.A.","LEOF. SYGGROY 173, 11521, Nea Smyrni",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
GRI143,,"Euler Hermes SA/NV","LAODIKIAS 16 & NYMFAIOY 1-3, 11528, Athens",no-vida,BE0403248596                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
GRI139,3912005G3I38WZLSWK70,"EUROINS INSURANCE PLC (INSURANCE COMPANY 'EUROINS'AD)","LEOF. AMFITHEAS 14 KAI AG. ANARGYRON  43, 17564, Paleo Faliro",no-vida,BG121265113                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
GRI007,213800FTX6WHGML62N33,"EUROLIFE ERB GENERAL INSURANCE S.A.","209 Sygrou Ave., 17121, Athens",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
