CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
HR94472454976,74780000904H51PVL664,"ADRIATIC OSIGURANJE d.d.","Listopadska 2/V, 10000, Zagreb",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
HR18742666873,74780000R0XHH10VC697,"AGRAM LIFE osiguranje d.d.","Trnjanska cesta 108, 10000, Zagreb",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
HR23759810849,5493006D8G55YM441622,"ALLIANZ HRVATSKA d.d.","Heinzelova 70, 10000, Zagreb",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
HR26187994862,74780000M0GHQ1VXJU20,"CROATIA osiguranje d.d.","Vatroslava Jagića 33, 10000, Zagreb",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
HR22694857747,74780000Q0NHK2O5DU16,"EUROHERC osiguranje d.d.","Ulica grada Vukovara 282, 10000, Zagreb",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
HR10840749604,529900SSQ9XD4D9UVJ94,"GENERALI OSIGURANJE d.d.","Slavonska avenija 1b, 10000, Zagreb",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
HR28406115764,5299008LQUWEOTO76V71,"GRAWE Hrvatska d.d.","Ulica grada Vukovara 5, 10000, Zagreb",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
HR98164456048,74780000V0JHQ18WXI81,"Groupama osiguranje d.d.","Ulica grada Vukovara 284, 10000, Zagreb",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HR56722567504,529900FV2KIOK0DS0757,"Groupama osiguranje, društvo za osiguranje d.d. - Podružnica Hrvatska","Ulica grada Vukovara 284, 10000, Zagreb",compuestos,HU10207349                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
HR00432869176,7478000090THK2NOZI72,"HOK - OSIGURANJE d.d.","Capraška ulica 6, 10000, Zagreb",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
HR46406681143,315700PS397SPA0S1F19,"Hrvatsko kreditno osiguranje d.d.","Bednjanska 14, 10000, Zagreb",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
HR08937835435,529900S781HTTWM6KC58,"MERKUR OSIGURANJE d.d.","Ulica kneza Ljudevita Posavskog 31, 10000, Zagreb",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
HR03432773181,,"Porsche Versicherungs Aktiengesellschaft - Podružnica Zagreb - za osiguranje","Velimira Škorpika 21, 10000, Zagreb",no-vida,AT0000001055381                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
HR45237012600,,"SAVA OSIGURANJE d.d. - Podružnica Hrvatska za osiguranje","R. Frangeša Mihanovića 9, 10000, Zagreb",compuestos,SI5063400000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
HR29743547503,74780000H0HHL1OVM657,"TRIGLAV OSIGURANJE d.d.","Antuna Heinza 4, 10000, Zagreb",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
HR75665455333,74780000P058TI5YPX93,"UNIQA osiguranje d.d.","Planinska 13A, 10000, Zagreb",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
HR36958319030,,"Vereinigte Hagelversicherung VVaG - Podružnica VH Hrvatska","A. Cesarca 69, 35000, Slavonski Brod",no-vida,DEAIOTE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
HR52848403362,54930041AKTSEYG3RV93,"Wiener osiguranje Vienna Insurance Group d.d.","Slovenska ulica 24, 10000, Zagreb",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
