CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
HU10389395,2138002WE79XZSYJB750,"Alfa Vienna Insurance Group Biztosító Zrt.","Üllői út 1., 1091, Budapest 09. ker.",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
HU10337587,529900IJSHSLTES6PQ72,"Allianz Hungária Biztosító Zártkörűen Működő Részvénytársaság","Könyves Kálmán krt. 48-52., 1087, Budapest 08. ker.",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
HU22134604,,"Atradius Crédito y Caución S.A. de Seguros y Reaseguros Magyarországi Fióktelepe","Dombóvári út 27., 1117, Budapest 11. ker.",no-vida,ESA28119220                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
HU18088122,,"Autohome Magyarország Kölcsönös Biztosító Egyesület","ADY E. UTCA 53. B. épület, 1196, Budapest 19. ker.",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
HU23837324,,"AWP P&C S.A. Magyarországi Fióktelep","Könyves Kálmán körút 48-52., 1087, Budapest 08. ker.",no-vida,FR519490080                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HU12774395,2138007VDGVZLDMBWJ04,"BNP Paribas Cardif Biztosító Magyarország Zártkörűen Működő Részvénytársaság","Teréz körút 55-57., 1062, Budapest 06. ker.",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
HU12774412,5299000ECH2UDL8LP161,"BNP Paribas Cardif Életbiztosító Magyarország Zártkörűen Működő Részvénytársaság","Teréz körút 55-57, 1062, Budapest",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
HU18425501,2330002GNPDT8U61VM84,"Bodrogközi Kertészeti Nonprofit Kölcsönös Növénybiztosító Egyesülete","Szabadság utca 15/A, 3963, Karcsa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
HU18426997,233000C3T935JL431W20,"Bodrogközi Nonprofit Egyesület","Szabadság utca 15/A, 3963, KARCSA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HU22384407,,"Chubb European Group SE Magyarországi Fióktelepe","Szabadság tér 7. (Bank Center), 1054, Budapest 05. ker.",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
