CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
IEC33489,635400GLGLBGMGUOHI85,"Acadia International Insurance dac","15 George's Quay, D02 V, Dublin",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
IECBI00448010,,"Accélérant Insurance Europe SA/NV (Irish Branch)","The Victorians, 15-18 Earlsfort Terrace, D05 Y, Dublin",no-vida,BE0758632842                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
IECBI00455894,213800C11S3JDZKLQW24,"ACORN LIFE - CAUTIOUSLY MANAGED FUND","ST. AUGUSTINE STREET, H91 F, GALWAY",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
IECBI00449591,2138006NJ3ZNQRDDVT84,"ACORN LIFE - MANAGED FUND","ST. AUGUSTINE STREET, H91PN, GALWAY",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
IECBI00449590,213800LPUXZLY7FZ1Q18,"ACORN LIFE - MANAGED GROWTH FUND","ST. AUGUSTINE STREET, H91 F, GALWAY",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
IEC703,635400NDPDLB7KJWFG98,"Acorn Life Designated Activity Company","NZI Plaza Saint Augustine Street, H91 P, Galway",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
IEC37887,635400T8HI2YBZTRGO46,"Adidas International Re dac","15 George's Quay, D02VR, Dublin",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
IEC72204,635400TUWJPYBPIU1V65,"Advent Insurance Designated Activity Company","C/O MARSH MANAGEMENT SERVICES (DUBLIN) LIMITED, The Frame, 74 Baggot Street Lower,, D02XD, Dublin",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
IEC180872,,"AIG Europe S.A. (Irish Branch)","30 North Wall Quay, IFSC, D01 R, Dublin",no-vida,LURCSB0218806                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
IEC50495,529900ZJCA8LOT6XX119,"Allianz Global Life Designated Activity Company","Allianz House Elmpark Merrion Road, D04 Y, Dublin",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
