CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
IT0002764301544,815600E350F16626B828,"'CF ASSICURAZIONI S.P.A. - COMPAGNIA DI ASSICURAZIONE PER IL CREDITO E LA FAMIGLIA' ABBREVIABILE IN 'CF ASSICURAZIONI S.P.A.'","VIA PAOLO DI DONO, 73, 00142, ROMA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
IT0003094420363,,"'ROLAND RECHTSSCHUTZ-VERSICHERUNGS.-AG'","VIA FRANCESCO GUICCIARDINI, 6, 20100, MILANO",,DEA4RFS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
IT0005166455207,529900LMJCB7GMZOLJ59,"ACCELERANT INSURANCE EUROPE SA/NV","VIA PIETRO PALEOCAPA, 1, 20121, MILANO",no-vida,BE0758632842                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
IT0005070900333,213800DTHVLFXK3JLD42,"ACCREDITED INSURANCE (EUROPE) LTD","VIA DELLA MOSCOVA, 3, 20121, MILANO",no-vida,MTICRQIM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
IT0004961377120,,"ADRIATIC OSIGURANJE D.D.","CORSO ITALIA 31 (34122 ), 34100, TRIESTE",no-vida,HR94472454976                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
IT0003942763986,,"AFI ESCA","FORO BUONAPARTE 51, 20121, MILANO",vida,FR548502517                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
IT0003942762087,,"AFI ESCA IARD","FORO BUONAPARTE 51, 20121, MILANO",no-vida,FR380138644                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
IT0004815236039,,"AIG EUROPE S.A. - RAPPRESENTANZA GENERALE PER L' ITALIA","PIAZZA VETRA 17, 20100, MILANO",no-vida,LURCSB0218806                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
IT0003132166813,815600DB5383C49C0354,"AIOI NISSAY DOWA INSURANCE COMPANY OF EUROPE SE","VIA KIICIRO TOYODA, 2, 00100, ROMA",,LURCSB0232302                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
IT0004027904711,5493005UY451ZBMSLM80,"ALLEANZA ASSICURAZIONI S.P.A.","PIAZZA TRE TORRI, 1, 20145, MILANO",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
IT0000324627070,815600C409F6E7864A60,"ALLIANZ DIRECT SOCIETÀ PER AZIONI","PIAZZA TRE TORRI, 3, 20145, MILANO",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
IT0005539794859,,"ALLIANZ DIRECT-VERSICHERUNGS AG","PZA TRE TORRI, 3, 20100",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
IT0003255038605,,"ALLIANZ GLOBAL CORPORATE & SPECIALTY SE","PIAZZA TRE TORRI 3, 20145, MILANO",no-vida,DEA00PQ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
IT0003283636763,,"ALLIANZ GLOBAL LIFE DAC","LGO UGO IRNERI, 1, 34100, TRIESTE",vida,IEC50495                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
IT0004876114280,,"ALLIANZ LEBENSVERSICHERUNGS-AG","LARGO UGO IRNERI, 1, 34123, TRIESTE",vida,DEA056W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
