CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
LT307046156,,"'Baltijas Apdrosinasanas Nams' AAS Lietuvos filialas","Žalgirio g. 90-100, LT-09, Vilniaus m. sav. Vilnius",no-vida,LV40003494976                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LT305351885,,"'SEB Life and Pension Baltic SE' Lietuvos filialas","Konstitucijos pr. 24, LT-08, Vilniaus m. sav. Vilniaus m.",vida,LV40003012938                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LT300665654,,"AAS „BTA Baltic Insurance Company“ filialas Lietuvoje","Laisvės pr. 10, LT-04, Vilnius",no-vida,LV40103840140                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LT110051834,529900SURJXJXSY5O039,"Akcinė bendrovė „Lietuvos draudimas“","J. Basanavičiaus g. 10, LT-01, Vilnius",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
LT110057869,259400YE6518PP6M4W52,"Akcinė draudimo bendrovė „Gjensidige“","Žalgirio g. 90, LT-09, Vilnius",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
LT111744827,213800Q5EQ3RDNYXII94,"Allianz Lietuva gyvybės draudimas UAB","Lvivo g. 25-701, LT-09, Vilnius",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LT307116156,,"ATRADIUS kredito draudimas, Atradius Credito y Caucion S.A. de Seguros y Reaseguros Lietuvos filialas","Lvivo g. 25-104, LT-09, Vilniaus m. sav. Vilnius",no-vida,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LT304498010,,"Balcia Insurance SE Lietuvos filialas","Perkūnkiemio g. 5, LT-12, Vilniaus m. sav. Vilniaus m. sav. teritorija",no-vida,LV40003159840                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LT300156205,,"COMPAGNIE FRANCAISE D'ASSURANCE POUR LE COMMERCE EXTERIEUR Baltics filialas","Antano Tumėno g. 4, LT-01, Vilnius",no-vida,FR552069791                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LT301135655,,"Compensa Life Vienna Insurance Group SE Lietuvos filialas","Ukmergės g. 280, LT-06, Vilnius",vida,EE10055769                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
LT302912288,,"ERGO Insurance SE Lietuvos filialas","Lvivo g. 37-101, LT-03, Vilnius",no-vida,EE10017013                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
LT110707135,5493001IOWSPIYMXRA82,"ERGO Life Insurance SE","Geležinio Vilko g.6A, LT-03, Vilnius",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
LT302279548,,"If P&C Insurance AS filialas","T. Narbuto g. 5, LT-08, Vilnius",no-vida,EE10100168                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LT302458056,,"Swedbank Life Insurance SE Lietuvos filialas","Konstitucijos pr. 20A, LT-09, Vilnius",vida,EE10142356                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LT302649474,,"Swedbank P&C Insurance AS Lietuvos filialas","Konstitucijos pr. 20A, LT-09, Vilnius",no-vida,EE11269248                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
LT110082737,259400LNAAVVBAGSC732,"UAB 'PZU Lietuva gyvybės draudimas'","J. Basanavičiaus g. 10B, LT-01, Vilnius",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
LT110081788,213800YHLZ5VQZP6TN15,"UAB Artea Life Insurance","Konstitucijos pr. 14A, LT-01, Vilnius",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
LT110062097,213800BQI7MW9KTH6J57,"Uždaroji akcinė bendrovė draudimo kompanija „LAMANTINAS“","Z.Sierakausko g. 15A, LT-03, Vilnius",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LT304080146,529900Q2VEPP9IT0QD91,"„Compensa Vienna Insurance Group“, akcinė draudimo bendrovė","Ukmergės g. 280, LT-06, Vilnius",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
LT301723587,,"„Vereinigte Hagelversicherung VVaG“ filialas „VH Lietuva“","Europos pr. 50, LT-46, Kauno m. sav. Kaunas",no-vida,DEAIOTE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
