CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
LURCSB0275789,5493000BGYP62GRG7A24,"ACCIONA ENERGIA RE.","145, rue du Kiem, L-803, Strassen",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LURCSB0051757,2221001YPCO4M15OW979,"AERO RE SA","22, Boulevard des Scillas, L-252, Howald",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
LURCSB0175991,222100YT3TT9HR81IS56,"AFI.ESCA Luxembourg S.A.","4, rue du Fort Wallis, L-271, Luxembourg",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
LURCSB0078214,2221006LGHTNRSDX4H31,"AGAT RE SA","BP.59, 534, rue de Neudorf, L-222, Luxembourg",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LURCSB0262458,222100RRCB93UFL6LF85,"AGFA RE S.A.","16a, avenue de la Liberté, L-193, Luxembourg",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
LURCSB0083235,222100E1N77EFRB3SR98,"AGRASSUR RE SA","B.P. , 534, rue de Neudorf, L-222, Luxembourg",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LURCSB0201817,222100YY16NJB27XOV87,"AGRO REINSURANCE S.A.","534, rue de Neudorf, L-222, Luxembourg",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LURCSB0218806,213800SCCLMKOWSSX732,"AIG Europe S.A.","35 D, Avenue John F. Kennedy, L-185, Luxembourg",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LURCSB0232302,5493001W3NTGB2HAN989,"AIOI NISSAY DOWA INSURANCE COMPANY OF EUROPE S.E.","76, 4, rue Lou Hemmer, L-174, Senningerberg",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
LURCSB0037619,5299008KOP6QNQ1WNH72,"ALLIANZ LIFE LUXEMBOURG","19-23, rue Jean Fischbach, Bâtiment, L-337, Leudelange",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
