CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
LV40003494976,259400VDTC20UW6M5D80,"'Baltijas Apdrošināšanas Nams' apdrošināšanas akciju sabiedrība","Antonijas iela 23, LV-10, Rīga",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
LV40003786859,213800INTZLVGKSLV540,"'CBL Life' apdrošināšanas akciju sabiedrība","Republikas laukums 2A, LV-10, Rīga",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
LV40103942087,5299004M3VEI7YA7QZ81,"'Compensa Vienna Insurance Group' ADB Latvijas filiāle","Vienības gatve 87H, LV-10, Rīga",no-vida,LT304080146                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
LV40103840140,3157002Q3I11LG1R1C12,"AAS 'BTA Baltic Insurance Company'","Sporta iela 11, LV-10, Rīga",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
LV40103595216,,"Akcine draudimo bendrove 'Gjensidige' Latvijas filiāle","Gustava Zemgala gatve 74A, LV-10, Rīga",no-vida,LT110057869                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
LV40003049409,25940034Z0RI47GCPC59,"Apdrošināšanas akciju sabiedrība 'BALTA'","Skanstes iela 25, LV-10, Rīga",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
LV40203597938,984500D866CC90651068,"AS 'Sincera Insurance'","Kārļa Ulmaņa gatve 2, LV-10, Rīga",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LV40003159840,315700MAQ69RR5OG1912,"Balcia Insurance SE","Krišjāņa Valdemāra iela 63, LV-10, Rīga",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LV50003958651,,"Compensa Life Vienna Insurance Group SE Latvijas filiāle","Vienības gatve 87H, LV-10, Rīga",compuestos,EE10055769                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
LV40103599913,,"ERGO Insurance SE Latvijas filiāle","Skanstes iela 50, LV-10, Rīga",no-vida,EE10017013                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
LV40103336441,,"ERGO Life Insurance SE Latvijas filiāle","Skanstes iela 50, LV-10, Rīga",compuestos,LT110707135                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LV40103201449,,"If P & C Insurance AS Latvijas filiāle","Republikas laukums 2A, LV-10, Rīga",no-vida,EE10100168                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LV40103774146,,"If P & C Insurance Ltd (publ) Latvijas filiāle","Republikas laukums 2A, LV-10, Rīga",no-vida,SE5164018102                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
LV40003012938,549300EOIPME5OPE8U19,"SEB Life and Pension Baltic SE","Elizabetes iela 95, LV-10, Rīga",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
LV40003899708,,"Swedbank Life Insurance SE Latvijas filiāle","Balasta dambis 15, LV-10, Rīga",vida,EE10142356                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
LV40103212048,,"Swedbank P & C Insurance AS Latvijas filiāle","Balasta dambis 15, LV-10, Rīga",no-vida,EE11269248                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
LV40203181416,,"Telia Forsakring AB filiāle Latvijā","Krišjāņa Valdemāra iela 20 - 16A, LV-10, Rīga",no-vida,SE5164018490                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
LV40203508126,,"UAB Artea Life Insurance Latvijas filiāle","Citadeles iela 12, LV-10, Rīga",vida,LT110081788                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
