CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
MTICAAKI,213800LXNGNQ5O1XBW47,"AAK Insurance Malta Limited","VISION EXCHANGE BUILDING TRIQ IT- TERRITORIALS (ZONA INDUS, QRM 3, QORMI",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
MTICRQIM,635400CIPL7LGNBQ4U90,"ACCREDITED INSURANCE (EUROPE) LIMITED","3rd Floor, Development house, St. Anne Street, FRN 9, FLORIANA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
MTICABBY,213800OBCH1GM1HZRQ55,"ADVENT INSURANCE PCC LIMITED","The Landmark, Level 1, Suite 2, Triq l-Iljun, QRM 3, Qormi",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
MTA212965,213800AI4SE1XU3W2O92,"AMERICAN ATLANTIC ASSURANCE CO. LTD.","LEVEL 3 THE HEDGE BUSINESS CENTRE TRIQ IR-RAMPA TA SAN GILJ, STJ 1, SAN GILJAN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
MTA190924,,"ARGUS INSURANCE COMPANY (EUROPE) LIMITED","TOWER BUSINESS CENTRE,SUITE 5 FLOOR 1,TRIQ IT- TORRI, BKR 4, BIRKIRKARA",no-vida,GIECBM2713709                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MTA248405,2138002671IY6NV49882,"ARLC LIMITED","SUITE A LEVEL 1 THE CORNERSTONE BUSINESS CENTRE PJAZZA S- SI, MST 1, MOSTA",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
MTICATL,529900F52D5B51ONO136,"ATLAS INSURANCE PCC LIMITED","47-50,ATLAS INSURANCE,IX-XATT TA XBIEX, XBX 1, TA XBIEX",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
MTA202683,213800QSIAG85VWXE298,"AVIATION INSURANCE LIMITED","222,LEVEL 3 THE HEDGE BUSINESS CENTRE TIRQ IR-RAMPA TA SAN GIL, STJ 1, SAN GILJAN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
MTICCBST,213800FB2YPNPQKFSI47,"Bastion Insurance Company Limited","THE LANDMARK, LEVEL 1, SUITE 2,  TRIQ L-ILJUN, QRM 3, QORMI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
MTICBVRR,213800VP6B1WEHBDQP63,"BAVARIA REINSURANCE MALTA LIMITED","5th Floor, Development House, St. Anne Street, FRN 9, Floriana",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
MTICBBI,213800FPSO3IC68YB568,"Building Block Insurance PCC Limited","3RD FLOOR DEVELOPMENT HOUSE,,TRIQ SANTANNA, FRN 9, FLORIANA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MTICCFNA,213800NR2H6HYASL4F61,"Cafina Assurances Limited","Alfred Craig Street, XBX 1, Ta' Xbiex",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MTA256833,213800YD7AXPMZLJPL73,"CARMOBILITY INSURANCE LIMITED","THE HEDGE BUSINESS CENTRE LEVEL 3 IR-RAMPA TA SAN GILJAN, STJ 1, SAN GILJAN",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MTA224787,9845009C65A636E9DF10,"CE INSURANCE LIMITED","THE LANDMARK LEVEL 1 SUITE 2 TRIQ L- ILJUN, QRM 3, QORMI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
