CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC0073,,"'BALCIA INSURANCE' SE Oddział w Polsce","Al. Jerozolimskie 96, 00-80, Warszawa",no-vida,LV40003159840                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PLIC0050,259400K9O8B6E9TWQI87,"AGRO UBEZPIECZENIA TUW","ul. Rodziny Hiszpańskich 8, 02-68, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PLOC0089,,"ATRADIUS CREDITO Y CAUCION S.A. DE SEGUROS Y REASEGUROS SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE","Rondo Ignacego Daszyńskiego 2B, 00-84, Warszawa",no-vida,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PLIC0069,,"AWP P&C S.A. ODDZIAŁ W POLSCE","ul. Konstruktorska 12, 02-67, Warszawa",no-vida,FR519490080                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PLIC000094,,"AXA FRANCE IARD SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE","ul. Prosta 68, 00-83, Warszawa",no-vida,FR722057460                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC000093,,"AXA FRANCE VIE SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE","ul. Prosta 68, 00-83, Warszawa",compuestos,FR310499959                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLIC0098,259400BVOLY75E7L2G05,"CA ŻYCIE TU S.A.","ul. Legnicka 48 bud. C-D, 54-20, Wrocław",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLIC0074,259400EJ7JNESWD76Q90,"Cardif-Assurances Risques Divers S.A. Oddział w Polsce","ul. Grzybowska 78, 00-84, Warszawa",no-vida,FR308896547                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PLIC0067,,"CHUBB EUROPEAN GROUP SE SPÓŁKA EUROPEJSKA ODDZIAŁ W POLSCE","ul. Królewska 18, 00-10, Warszawa",no-vida,FR450327374                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLPLIC0090,,"COLONNADE INSURANCE SOCIETE ANONYME ODDZIAŁ W POLSCE","ul. Prosta 67, 00-83, Warszawa",no-vida,LURCSB0061605                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PLIC0076,,"COMPAGNIE FRANCAISE D'ASSURANCE POUR LE COMMERCE EXTERIEUR SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE","Al. Jerozolimskie 142A, 02-30, Warszawa",no-vida,FR552069791                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLIC0033,259400LUPWM9VS8E5M86,"COMPENSA TU S.A. Vienna Insurance Group","Al. Jerozolimskie 162, 02-34, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PLPLIC0091,,"CREDENDO - GUARANTEES & SPECIALITY RISKS SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE","ul. Inflancka 4C, 00-18, Warszawa",no-vida,BE0864602471                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PLIC0079,,"CREDENDO - TRADE CREDIT INSURANCE SA/NV (SPÓŁKA AKCYJNA) ODDZIAŁ W POLSCE","ul. Inflancka 4C, 00-18, Warszawa",no-vida,BE0867435663                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLIC0035,259400IDRH0AFY9CPR67,"CREDIT AGRICOLE TU S.A.","ul. Legnicka 48 bud. C-D, 54-20, Wrocław",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
