CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PT505992779,,"A 'BENÉFICA E PREVIDENTE' - ASSOCIAÇÃO MUTUALISTA","Rua dos Bragas 68, 4050-, PORTO",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PT500835195,984500AB5BNADQ53E942,"A LUTUOSA DE PORTUGAL ASSOCIACAO MUTUALISTA","Avenida Aliados 168, 4000-, PORTO",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PT501091637,,"A MUTUALIDADE DE SANTA MARIA-ASSOCIACAO MUTUALISTA","AV 29 DE MARÇO 652, 3885-, ESMORIZ",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PT500987416,89450038EFGMN6ZU5Z13,"A PREVIDÊNCIA PORTUGUESA - ASSOCIAÇÃO MUTUALISTA","RUA DA SOFIA Nº 193, 3000-, COIMBRA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PT501506276,894500I02IILXXF0J965,"ACP MOBILIDADE - SOCIEDADE DE SEGUROS DE ASSISTENCIA, S.A.","Rua Rosa Araújo, nº 24, 1250-, LISBOA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PT513251936,9598001GSAW026UNLE02,"AEGON SANTANDER PORTUGAL NAO VIDA - COMPANHIA DE SEGUROS, S.A.","Rua da Mesquita, 6, 1070-, LISBOA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PT513251944,959800S4Y2DCN7EVAG59,"AEGON SANTANDER PORTUGAL VIDA - COMPANHIA DE SEGUROS DE VIDA, S.A.","Rua da Mesquita, 6, 1070-, LISBOA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PT502220473,213800RG14PKT8BC8K42,"AGEAS PORTUGAL - COMPANHIA DE SEGUROS DE VIDA, S.A.","Avenida do Mediterrâneo, nº 1, 1990-, LISBOA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PT503454109,213800IX154FZ7DD1T36,"AGEAS PORTUGAL - COMPANHIA DE SEGUROS, S.A.","Rua Gonçalo Sampaio, 39, 4150-, PORTO",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PT980609089,,"AIG EUROPE S.A. - SUCURSAL EM PORTUGAL                                                 ","Avenida Duque de Ávila, nº 46, 4º andar, 1050-, Lisboa",no-vida,LURCSB0218806                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PT980256283,,"ARAG SE - SUCURSAL EM PORTUGAL","Rua Julieta Ferrão, 10 - 13º A, 1600-, LISBOA",no-vida,DEA3J2C                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PT980602513,,"ASISA, ASISTENCIA SANITARIA INTERPROVINCIAL DE SEGUROS, S.A.U - SUCURSAL EM PORTUGAL     ","Avenida Duque de Ávila, nº 185-A, 1050-, Lisboa",no-vida,ESA08169294                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PT980606268,,"ASISA, VIDA SEGUROS, S.A.U., SUCURSAL EM PORTUGAL                                                                          ","Avenida Duque de Ávila, nº 185-A, 1050-, Lisboa",compuestos,ESA87425070                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PT502032871,,"ASSOCIAÇÃO DE DESENVOLVIMENTO RURAL, MÚTUA DE SEGUROS E MULTI-SERVIÇOS - MÚTUA DE BASTO/NORTE","RUA ANTUNES BASTO, Nº344 - REFOJOS DE BASTO, 4860-, CABECEIRAS DE BASTO",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
PT501102671,,"ASSOCIAÇÃO DE SOCORROS MUTUOS ALIANÇA MUTUALISTA","R DA CRUZ DOS POIAIS 33-1, 1200-, LISBOA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PT501393382,,"ASSOCIAÇÃO DE SOCORROS MUTUOS DOS ARTISTAS DE BRAGANÇA","PRAÇA CAMÕES, 5300-, BRAGANCA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PT503567442,,"ASSOCIAÇÃO DE SOCORROS MÚTUOS DOS ARTISTAS E OPERÁRIOS DE GOUVEIA","R DA REPUBLICA 123-1, 6290-, Gouveia",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PT511010400,,"ASSOCIACAO DE SOCORROS MUTUOS QUATRO DE SETEMBRO DE MIL OITOCENTOS E SESSENTA E DOIS","Rua João Tavira 59, 1º, 9000-, FUNCHAL",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PT501398430,,"ASSOCIACAO FUNEBRE DE SOCORROS MUTUOS DE SANTA MARINHA DE GAIA","Rua Cândido Reis 32, 1º, 4400-, VILA NOVA DE GAIA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PT507892364,,"ASSOCIACAO MUTUA DE SEGURO DE GADO - MUTUA DE BASTO","GESTAÇÔ, 4640-, GESTAÇÔ",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PT502362090,,"ASSOCIACAO MUTUA DOS ARMADORES DE PESCA DE ANGEIRAS - MAPA","Avenida Praia Angeiras 449, 4455-, LAVRA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
PT503864234,,"ASSOCIACAO MUTUALISTA ADUANEIRA","Edifício da Alfândega - Rua Terreiro do Trigo, 1149-, LISBOA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PT980149959,,"ATRADIUS CRÉDITO Y CAUCIÓN, S.A. DE SEGUROS Y REASEGUROS - SUCURSAL EM PORTUGAL","Av. Columbano Bordalo Pinheiro, n.º 75 - 7.º, Frações 7.01 a 7.03 - Edifício Pórtico, 1070-, Lisboa",no-vida,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PT980359546,,"AWP P&C, SA - SUCURSAL EM PORTUGAL","Avenida do Brasil, nº 56, 3º, 1700-, LISBOA",no-vida,FR519490080                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PT980628121,,"AXA FRANCE IARD - SUCURSAL EM PORTUGAL","Avenida da Liberdade, nº 38, 7º andar, 1269-, LISBOA",no-vida,FR722057460                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PT980628156,,"AXA FRANCE VIE - SUCURSAL EM PORTUGAL","Avenida da Liberdade, nº38, 7º, 1269-, LISBOA",vida,FR310499959                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PT513851020,254900KSFPKUVOA0PT05,"AZUAGA - COMPANHIA DE SEGUROS, S.A.","Atrium Saldanha, Praça Duque de Saldanha, nº 1, 8º F a), 1050-, LISBOA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PT980545587,213800OM16JD5QRNWZ78,"BANKINTER SEGUROS DE VIDA, S.A. DE SEGUROS Y REASEGUROS - SUCURSAL EM PORTUGAL","Centro Comercial Colombo, Torre Oriente - Avenida Colégio Militar, 37F, 1500-, LISBOA",compuestos,ESA78510138                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PT980255732,,"BBVASEGUROS, S.A. DE SEGUROS Y REASEGUROS","Avenida da Liberdade, 222, 1250-, LISBOA",compuestos,ESA48051098                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
PT502623543,213800HV6TP2I5A6MW58,"BPI VIDA E PENSÕES - COMPANHIA DE SEGUROS, S.A.","Avenida Praia da Vitória, nº 71, 3º, 1050-, LISBOA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PT500884781,,"CAIXA AUXILIAR DOS ESTIVADORES DO PORTO DE LISBOA E CENTRO DE PORTUGAL (ASSOCIACAO DE SOCORROS MUTUOS)","Rua do Alecrim,25,1º, 1200-, LISBOA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PT506146197,,"CAIXA DE PREVIDÊNCIA DO MINISTÉRIO DA EDUCAÇÃO","Praça D. Pedro iV, 45 -3º, 1149-, Lisboa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PT980000599,,"CAIXA DE PREVIDENCIA DO PESSOAL DO CAMINHO DE FERRO DE BENGUELA","Rua Ataíde 7-B, 1249-, LISBOA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PT503640549,635400TDFKL4ZSPVXC31,"CARAVELA - COMPANHIA DE SEGUROS, S.A.","Avenida Casal Ribeiro, nº 14, 1000-, Lisboa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
PT980147913,,"CARDIF ASSURANCE VIE - SUCURSAL EM PORTUGAL","Torre Ocidente, Rua Galileu Galilei, n.º 2 – 10º piso, 1500-, LISBOA",vida,FR732028154                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PT980148243,,"CARDIF ASSURANCES RISQUES DIVERS","Torre Ocidente, Rua Galileu Galilei, n.º 2 – 10.º piso, 1500-, LISBOA",no-vida,FR308896547                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PT501644563,,"CASA DO PESSOAL DA CAIXA DE PREVIDENCIA DO PESSOAL DA MARINHA MERCANTE NACIONAL","Av. Afonso Costa,16, 1900-, LISBOA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PT501607129,,"CASA DO PESSOAL DA CAIXA SINDICAL DE PREVIDENCIA DO PESSOAL DA INDUSTRIA DE CONSERVAS DE PEIXE","Rua Rosa Araújo 43, 1250-, LISBOA",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PT980350964,,"Chubb European Group SE - Sucursal em Portugal","Av. da Liberdade, 249 - 3º, 1250-, LISBOA",no-vida,FR450327374                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PT980422361,,"CHUBB LIFE EUROPE SE - SUCURSAL EM PORTUGAL","Av. da Liberdade, 249 - 3º, 1250-, LISBOA",compuestos,FR497825539                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
PT500969442,,"COFRE DE PREVIDÊNCIA DOS FUNCIONÁRIOS E AGENTES DO ESTADO","Rua do Arsenal, Letra F, 1100-, Lisboa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
