CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROASIG01,315700QEQCDMMC0H3Y61,"ABC INSURANCE S.A.","Str. Scoala Floreasca nr. 24, Sector 1 , 01164, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ROASIG45,,"AGRA ASIGURARI OSTERREICHISCHE HAGELVERSICHERUNG VVAG SUCURSALA ROMANIA","Aleea Privighetorilor nr.86P, bl.D, ap.D0-1, 01403, BUCURESTI",no-vida,AT0000002407888                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ROASIG04,529900XKNXM9MBH8GS45,"ALLIANZ - TIRIAC ASIGURARI S.A.","Str. Căderea Bastiliei nr. 80-84, Sector 1, 01061, BUCURESTI",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ROASIG29,5299000TL4WT47U3ZG88,"ALLIANZ-TIRIAC UNIT ASIGURARI S.A.","SOS. PIPERA NR. 42, ET. 16, ET. 1 - CAM. 1, 02011, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ROASIG06,529900GDYJ3BVB71LV69,"ASIGURAREA ROMANEASCA - ASIROM VIENNA INSURANCE GROUP S.A.","B-dul Carol I nr. 31-33, Sector 2 , 02092, BUCURESTI",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ROASIG07,315700WUHZE4PJ84VG74,"ASITO Kapital SA","Str. Elena Vacarescu nr. 100A, Sector 1 , 01393, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ROASIG48,,"ATRADIUS CREDITO Y CAUCION S.A. DE SEGUROS Y REASEGUROS - SUCURSALA BUCURESTI","Calea Floreasca Nr. 246C, SKY TOWER, Etaj 34, Sector 1, 01447, BUCURESTI",no-vida,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ROASIG53,,"AXERIA IARD SA LYON - SUCURSALA BUCURESTI","Str. GHEORGHE TITEICA, Nr. 212-214, Etaj 2, 02030, Bucuresti",no-vida,FR352893200                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ROASIG10,529900W3WGW631HK2G98,"BCR ASIGURARI DE VIATA VIENNA INSURANCE GROUP S.A.","Str. Rabat, nr. 21, et.2, 3 si 4, Sector 1 , 01183, BUCURESTI",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ROASIG11,3157007U0N17M1JWDB35,"BRD ASIGURARI DE VIATA S.A.","Splaiul Independentei nr. 15, bloc 100, tronson 1, et. 5, Sector 5 , 05009, BUCURESTI",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ROASIG13,747800C0R8CR0GQJJL94,"CARDIF - ASSURANCES RISQUES DIVERS S.A. PARIS SUCURSALA BUCURESTI","Str. Gheorghe Titeica nr. 212-214, sector 2, 02029, BUCURESTI",no-vida,FR308896547                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ROASIG12,74780040F5C0DGGVRO62,"CARDIF ASSURANCE VIE SA PARIS SUCURSALA BUCURESTI","Str. Gheorghe Titeica nr. 212-214, sector 2, 02029, BUCURESTI",vida,FR732028154                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROASIG49,,"COLONNADE INSURANCE SA LUXEMBOURG- SUCURSALA BUCURESTI","STR.C.A.ROSETTI NR.17, ET.5, BIROU 501-502, 02001, BUCURESTI",no-vida,LURCSB0061605                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ROASIG16,,"COMPAGNIE FRANCAISE D'ASSURANCE POUR LE COMMERCE EXTERIEUR S.A BOIS-COLOMBES SUCURSALA BUCURESTI","SOSEAUA PIPERA NR.42, ET.6, CAM.3, 02030, BUCURESTI",no-vida,FR552069791                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ROASIG17,315700CHB2C1NLK73W57,"COMPANIA DE ASIGURARI - REASIGURARI EXIM ROMANIA S.A.","Bulevardul Aviatorilor nr. 33, parter, ap.1, Sector 1 , 01185, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ROASIG55,787200QY8UWNZWKXY150,"EAZY ASIGURARI S.A.","CALEA FLOREASCA, NR. 169, CAM.10, ETAJ 4, 01445, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ROASIG20,,"EULER HERMES S.A. BRUXELLES SUCURSALA BUCURESTI","SOSEAUA PIPERA NR. 46D-46E-48, CLADIREA B, ET.1, PARTITIA 1, 02030, BUCURESTI",no-vida,BE0403248596                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ROASIG22,213800BQQJITVLKVBB33,"EUROLIFE ERB ASIGURARI DE VIATA S.A. (FOSTA EFG EUROLIFE ASIGURARI DE VIATA S.A)","B-dul Dimitrie Pompeiu nr. 6A, cladirea Olympus, etajul 5, camera 5.051, Sector 2 , 02033, BUCURESTI",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ROASIG23,213800INBUKMNZBQTL41,"EUROLIFE ERB ASIGURARI GENERALE S.A.(FOSTA EFG EUROLIFE ASIGURARI GENERALE S.A.)","B-dul Dimitrie Pompeiu nr. 6A, cladirea Olympus, etajul 5, camera 5.051, Sector 2 , 02033, BUCURESTI",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ROASIG26,549300BLM6IEMSO0RW56,"GARANTA ASIGURARI S.A.","B-dul Ion Mihalache nr. 19-21, Sector 1 , 01117, BUCURESTI",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
