CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SE5892018929,54930084KKJ4338WZX08,"ÅB Lokala Försäkringar Ömsesidigt Försäkringsbolag","Box 41, 841 2, ÅNGE",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SE5164016577,549300Z4D83S449HBR75,"Accept Försäkringsaktiebolag (publ)","Gustavslundsvägen 147, 167 5, Bromma",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SE5164114117,,"AIG Europe S.A. filial i Sverige","Västra Järnvägsgatan 7, 111 6, Stockholm",no-vida,LURCSB0218806                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SE5785007864,54930070IRP3OCHAZF45,"Åkerbo Härads Brandstodsbolag","Viby, 732 9, ARBOGA",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SE5164138439,,"Alandia Försäkring Abp, Svensk filial","Kungsgatan 42, 111 3, Stockholm",no-vida,FI01450652                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE5164135914,,"Ålands Försäkringar, svensk filial","Kungsgatan 64, 111 2, Stockholm",no-vida,FI31256762                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SE5594563321,529900M4F4SG7ZBTZF71,"Alleima Captive Försäkrings AB","Storgatan 2, 811 8, Sandviken",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SE5164086547,,"Allianz Global Corporate & Specialty AG","Regeringsgatan 54, 111 5, Stockholm",no-vida,DEA00PQ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SE5164076233,,"Allianz Trade, filial Sverige","Döbelnsgatan 24, 113 5, Stockholm",no-vida,BE0403248596                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SE5020005202,5493005NQWKA5HHLR582,"Allmänna Änke- och Pupillkassan i Sverige","Munkbron 9, 111 2, STOCKHOLM",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SE5844010180,,"Älvdalens hästförsäkringsförening","Loka Yronvägen 10, 796 9, Älvdalen",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SE5494010381,,"Älvsåkers hästförsäkringsbolag","Linbastavägen 12, 434 9, Kungsbacka",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SE5020008958,5493008DQORAEY0ENG84,"Anticimex Försäkringar AB","Årstaängsvägen 21, 117 6, Stockholm",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SE5896007043,,"Arnäs ömsesidiga hästförsäkringsförening","Lunne, 890 3, Arnäsvall",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SE8780000124,549300PRZD0UE1DQ7P12,"ASB Försäkringsförening","Domkyrkoesplanaden 7, 722 1, Västerås",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SE5280011312,,"Åsenhöga m fl socknars hästförsäkringsbolag","Hyltan, 335 9, Gnosjö",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SE5164060740,549300LO454LXHC0IN69,"Assa Abloy Försäkrings AB","Klarabergsviadukten 90, 111 6, STOCKHOLM",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SE5164017658,54930042KX1HU5U9JB93,"Återförsäkringsaktiebolaget SKF","Hornsgatan 1, 415 0, GÖTEBORG",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
