CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SI8202893000,,"Allianz Hrvatska dioničko društvo za osiguranje, Zagreb, Allianz Slovenija, zavarovalna podružnica","1000, Ljubljana",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SI6186238000,,"ARAG SE - Zavarovalnica pravne zaščite podružnica v Sloveniji","1000, Ljubljana",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SI8584931000,485100KUEFQSCGW7GW05,"AVRIO zavarovalnica obrtnikov in podjetnikov d.d.","Železna cesta 018, 1000, Ljubljana",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SI6808654000,48510000K433D979AB66,"CDA 40 ZAVAROVALNICA D.D. - v likvidaciji","Ulica pri velikih vratih 1, 6000, Koper",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SI5186684000,485100008LBCPGNX2W91,"GENERALI zavarovalnica d.d.","Kržičeva ulica 3, 1000, Ljubljana",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SI5450900000,529900VX9P8B0EIQLQ52,"GRAWE zavarovalnica d.d.","Gregorčičeva 39, 2000, Maribor",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SI5648246000,529900NLK1LRL7XHBE74,"MERKUR zavarovalnica d.d. Ljubljana","Dunajska cesta 58, 1000, Ljubljana",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SI6031226000,48510000V4RS1R2IJZ49,"Modra zavarovalnica, d.d.","Dunajska cesta 119, 1000, Ljubljana",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SI6588239000,,"Österreichische Hagelversicherung VVaG, Agro Zavarovalnica, podružnica v Sloveniji","Titova cesta 63, 2000, Maribor",no-vida,AT0000002407888                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SI6144101000,,"Porsche Versicherungs AG, Podružnica v Sloveniji","Verovškova ulica 74, 1000, Ljubljana",no-vida,AT0000001055381                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SI1362992000,549300XGYWQT0XWO4R05,"POZAVAROVALNICA TRIGLAV RE d.d.","Miklošičeva cesta 19, 1000, Ljubljana",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SI2295431000,315700BBRQHDWX6SHZ00,"PRVA OSEBNA ZAVAROVALNICA, d.d.","Fajfarjeva ulica 033, 1000, Ljubljana",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SI5063825000,549300P6F1BDSFSW5T72,"Sava Reinsurance Company d.d.","Dunajska cesta 56, 1000, Ljubljana",reaseguros,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SI1834665000,485100004VOFFO18DD84,"Vita, življenjska zavarovalnica, d.d.","Trg republike 3, 1000, Ljubljana",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SI1430521000,48510000JYXA7227FO19,"Vzajemna zdravstvena zavarovalnica d.d.","Vošnjakova ulica 2, 1000, Ljubljana",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SI1983652000,,"WIENER STÄDTISCHE VERSICHERUNG AG Vienna Insurance Group, Dunaj, WIENER STÄDTISCHE ZAVAROVALNICA, podružnica v Ljubljani","1000, Ljubljana",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SI5063400000,48510000OGX4W2DFYV52,"ZAVAROVALNICA SAVA, zavarovalna družba, d.d.","Ulica Eve Lovše 007, 2000, Maribor",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SI5063345000,549300KGI78MKHO38N42,"ZAVAROVALNICA TRIGLAV, d.d.","Miklošičeva cesta 19, 1000, Ljubljana",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SI9117725000,485100L438U65FV6CV98,"","",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SI9349278000,,"","",,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SI9213635000,,"","",,FR552069791                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
