CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SK00151700,31570020000000001632,"Allianz - Slovenská poisťovňa, a.s.","Dostojevského rad, 4, 81574, Bratislava",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SK50617168,,"Atradius Crédito y Caución S.A. de Seguros y Reaseguros, pobočka poisťovne z iného členské štátu","Rajská 7, 81108, Bratislava",no-vida,ESA28008795                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SK36534978,213800NPP9YG46DUL465,"BNP Paribas Cardif Poisťovňa, a.s.","Plynárenská, 7/C, 82109, Bratislava",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SK50013602,,"Colonnade Insurance S.A., pobočka poisťovne z iného členského štátu","Štúrova 27, 04280, Košice",no-vida,LURCSB0061605                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SK36833991,,"Compagnie francaise d' assurance pour le commerce extérieur, pobočka poisťovne z iného členského štátu","Šoltésovej 14, 81108, Bratislava",no-vida,FR432413599                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SK31325416,097900BFE40000025246,"ČSOB Poisťovňa, a.s.","Žižkova, 11, 81102, Bratislava",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SK47233818,,"Euler Hermes S.A., pobočka poisťovne z iného členského štátu","Plynárenská 7/A, 82109, Bratislava",no-vida,BE0403248596                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SK54228573,,"Generali Poisťovňa, pobočka poisťovne z iného členského štátu","Lamačská cesta 3/A, 84104, Bratislava",compuestos,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SK36857475,,"HDI Versicherung AG pobočka poisťovne z iného členského štátu","Obchodná 2, 81106, Bratislava",no-vida,AT0000001347598                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SK31595545,097900BFDR0000022084,"KOMUNÁLNA poisťovňa, a.s. Vienna Insurance Group","Štefánikova, 17, 81105, Bratislava",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SK00585441,097900BFEK0000024220,"KOOPERATIVA poisťovňa, a.s. Vienna Insurance Group","Štefanovičova, 4, 81623, Bratislava",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SK47257091,,"MetLife Europe Insurance Limited, pobočka poisťovne z iného členského štátu","Pribinova 10, 81109, Bratislava",no-vida,IEC89732                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SK47257105,,"MetLife Europe Limited, pobočka poisťovne z iného členského štátu","Pribinova 10, 81109, Bratislava",compuestos,IEC42062                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SK57043400,,"MSIG EUROPE SE, pobočka poisťovne z iného členského štátu","Štúrova 11, 81102, Bratislava",no-vida,BE0644921425                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SK35691999,3157008IZ14ZP307A433,"NN Životná poisťovňa, a.s.","Jesenského, 4/C, 81102, Bratislava",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SK36857220,,"Osterreichische Hagelversicherung-Versicherungsverein auf Gegenseitigkeit, pobočka poisťovne z iného členského štátu","Záhradnícka 21, 81107, Bratislava",no-vida,AT0000002407888                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
SK53831691,097900CAKA0000037320,"PARTNERS poisťovňa, a.s.","Einsteinova 24, 85101, Bratislava",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SK50659669,,"PREMIUM Poisťovňa, pobočka poisťovne z iného členského štátu","Šoltésovej 14, 811 0, Bratislava",no-vida,MTA193906                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SK52491587,,"STARR EUROPE INSURANCE LIMITED, pobočka poisťovne z iného členského štátu","Panenská 5, 81103, Bratislava",no-vida,MTA180744                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SK36869791,,"Swiss Re Europe S.A., organizačná zložka Slovensko","Mlynské nivy, 12, 82109, Bratislava",reaseguros,LURCSB0025242                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SK50503901,,"Swiss Re International SE, pobočka poisťovne z iného členského štátu","Karadžičova 12, 82108, Bratislava",no-vida,LURCSB0134553                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
