CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BE0884303369,699400Q2U9GMSLIVJ009,"ABB Industrial Solutions (Belgium) Pension Fund",,"Nieuwevaart, 51, 9000, Gent",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BE0422418370,5493003WJIWGN5V8HF88,"Abbott Belgian Pension Fund",,"F1, Da Vincilaan, 11, 1930, Zaventem",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BE0832619789,,"Alcon Pensioenfonds",,"Rijksweg, 14, 2870, Puurs-Sint-Amands",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BE0414082508,W366AS6TP2ABY5YDW807,"AMONIS",,"de Jamblinne de Meuxplein, 4, 1030, Schaarbeek",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BE0471326463,,"ANDIMO VOORZORGSFONDS",,"Schupstraat, 21, 2018, Antwerpen",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
BE0448496821,894500PP2FCRDG1UNQ65,"BASF  Werknemers en Tariefbedienden",,"Scheldelaan, 600, 2040, Antwerpen",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BE0448527604,,"BASF DIRECTIE Organisme voor de Financiering van Pensioenen",,"Scheldelaan, 600, 2040, Antwerpen",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
BE0448501769,894500DE34KZRZP56E96,"BASF Kaderleden en Directie",,"Scheldelaan, 600, 2040, Antwerpen",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BE0448496920,894500G7V2JGQOTCOM34,"BASF VOORZORGSFONDS",,"Scheldelaan, 600, 2040, Antwerpen",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BE0448444856,,"BASF WERKNEMERS",,"Scheldelaan, 600, 2040, Antwerpen",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
