CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG177524970,5299005JD8575KCMYR92,"Allianz Bulgaria Lifelong Pension Payment Fund","Allianz Bulgaria Pension Insurance Company","16, Srebarna Str., 1612, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
BG130430119,5299008RC92YLFU93102,"Allianz Bulgaria Mandatory Occupational Pension Fund","Allianz Bulgaria Pension Insurance Company","16, Srebarna Str., 1407, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BG130477720,529900PDWBFFONW3SX75,"Allianz Bulgaria Mandatory Universal Pension Fund","Allianz Bulgaria Pension Insurance Company","16, Srebarna Str., 1407, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BG177524988,529900MZ1WIO2QCZR450,"Allianz Bulgaria Planned Withdrawal Payment Fund","Allianz Bulgaria Pension Insurance Company","16, Srebarna Str., 1612, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
BG130401021,529900M6XXGX2S1M5X73,"Allianz Bulgaria Voluntary Pension Fund","Allianz Bulgaria Pension Insurance Company","16, Srebarna Str., 1407, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BG175307548,529900IKFVHAUN11PU13,"Allianz Bulgaria Voluntary Pension Fund with Occupational Schemes","Allianz Bulgaria Pension Insurance Company","16, Srebarna Str., 1407, Sofia",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BG130442139,529900939BVTOT8HH454,"CCB-Sila Professional Pension Fund","CCB-Sila Pension Insurance Company","87, Tsarigradsko shose Blvd., 1113, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BG130480645,529900CQO91JQPPP6V52,"CCB-Sila Universal Pension Fund","CCB-Sila Pension Insurance Company","87, Tsarigradsko shose Blvd., 1113, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG130438809,52990099M2L4389DI871,"CCB-Sila Voluntary Pension Fund","CCB-Sila Pension Insurance Company","87, Tsarigradsko shose Blvd., 1113, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
BG177527055,747800L0B19WU9J2F574,"Deferred Payment Fund - Budeshte","Future Pension Insurance Company","3, Hristo Belchev Str., 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BG177530012,984500CD15D402C93A08,"Deferred Payment Fund Pension Insurance Institute","Pension Assurance Institute","136 V, Tsar Boris III Blvd., floor 2, 1618, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BG177543255,485100P04IS1SAGH0074,"Deferred Payments Fund Toplina","Toplina Pension Insurance Company","34, 3020 Str., floor 8, 1360, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
BG130427646,549300MXSDWQDTDC9177,"Doverie Professional Pension Fund","Doverie Pension Insurance Company","13B, TINTYaVA Str., ent. A, floor 7, 1113, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
BG130474628,549300GXMYOWSMYXJ672,"Doverie Universal Pension Fund","Doverie Pension Insurance Company","13B, TINTYaVA Str., ent. A, floor 7, 1113, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BG130410344,549300W3D8PGSGVYYE87,"Doverie Voluntary Pension Fund","Doverie Pension Insurance Company","13B, Tintyava Str., ent. A, fl. 7, 1113, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BG130432485,549300V61LVOMX3K9H85,"DSK Rodina Professional Pension Fund","DSK Rodina Pension Insurance Company","5, Georgi Benkovski Str., floor 2, 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
BG130479810,549300JB0ECT5MJ72T82,"DSK Rodina Universal Pension Fund","DSK Rodina Pension Insurance Company","5, Georgi Benkovski Str., floor 2, 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BG130409819,549300R23ESFB7NRXF96,"DSK Rodina Voluntary Pension Fund","DSK Rodina Pension Insurance Company","5, Georgi Benkovski Str., floor 2, 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
BG175456360,549300DTC3WOOH6LHB61,"DSK Rodina Voluntary Pension Fund under Occupational Schemes","DSK Rodina Pension Insurance Company","5, Georgi Benkovski Str., floor 2, 1000, Sofia",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
BG177523808,894500KYGFR48EVK3760,"FRP CCB-SILA","CCB-Sila Pension Insurance Company","87, Tsarigradsko shose Blvd., 1000, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BG180763464,98450070E99FREDA7155,"Fund  for timelife pension payout  DallBogg Life and Health",,"1, G.M. Dimitrov Blvd., 1172, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
BG181078958,,"Fund for deferred payment DallBogg Life and Health",,"1, G.M. Dimitrov Blvd., 1172, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BG177521928,894500G98NADNV87ZN26,"Fund For Deferred Payments Doverie","Doverie Pension Insurance Company","13B, IZTOK TINTYaVA Str., ent. A, floor 7, 1113, Sofia",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
