CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CYPF3393,,"7Q RETIREMENT PARTNERS",,"PO BOX 20663,  1662  Nicosia, 1662, NICOSIA",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CYPF2609,,"AFSS ACCESS FINANCIAL (CYPRUS) PROVIDENT FUND",,"Marathovoynoy 9,  3071 Limassol, 3071, LIMASSOL",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CYPF762,254900SK5NKWZAEWVZ25,"BRITISH AIRWAYS CYPRUS EMPLOYEES PROVIDENT FUND",,"PO BOX 43003,  6650  Larnaca, 6650, LARNACA",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CYPF3366,,"C.V.K.PRO.FUND",,"Konstantinoy Kanari 27A, 1080 Leykosia, 2085, NICOSIA",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CYPF2292,,"CAARI EMPLOYEES PROVIDENT FUND",,"Antrea Dimitrioy 11,  1066 Nicosia, 1066, NICOSIA",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CYPF3123,,"CHEMIKALIEN PROVIDENT FUND",,"PO BOX 59716,  4012  Limassol, 4012, LIMASSOL",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CYPF3295,,"DROMON AND NOSTRA",,"PO BOX 71073,  3840  Limassol, 3840, LIMASSOL",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CYPF913,213800RS899NYGPP3A54,"ESSO CYPRUS INC. CYPRUS EMPLOYEES PROVIDENT FUND",,"PO BOX 21340,  1506  Nicosia, 1506, NICOSIA",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CYPF9085,,"ESSO Cyprus Inc. Pension Fund",,"",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CYPF3451,,"EX. MOD TUPE PROVIDENT FUND",,"MITIE (DEFENCE) LIMITED  BLOCK B  EPISKOPI GARRISON BFPO 53, 2503, LIMASSOL",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CYPF9089,,"FUND OF CYPRUS INC. RETIREMENT/DISABILITY/DEATH & SURVIVORS BENEFIT PLAN OF EXXON MOBIL",,"",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CYPF1739,,"H.S.H (TRADING AND SHIPPING) LIMITED STAFF PROVIDENT FUND",,"28 Oktovrioy 313, Omrania Centre, 1os Orofos,  3105 Limassol, 3105, LIMASSOL",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CYPF3426,,"HPC PENSION FUND",,"Ellispontoy 3, Strovolos,  2015 Nicosia, 2015, NICOSIA",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
