CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CZ75161869,3157004YAX4DZ4QWAJ49,"Akciový účastnický fond UNIQA penzijní společnosti, a.s.","UNIQA penzijní společnost, a.s.","Evropská 810/136, 16000, Praha 6",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CZ75162474,31570089CK4PLUAFBA42,"Akciový účastnický fond, Rentea penzijní společnost, a.s.","Rentea penzijní společnost, a.s.","Türkova 2319/5b, 14900, Praha 11",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CZ8080237679,315700OI8I24AUKBFO27,"Allianz dynamický účastnický fond, Allianz penzijní společnost, a. s.","Allianz penzijní společnost, a.s.","Ke Štvanici 656/3, 18600, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CZ8080237820,315700L6847LJ3GL7610,"Allianz transformovaný fond, Allianz penzijní společnost, a. s.","Allianz penzijní společnost, a.s.","Ke Štvanici 656/3, 18600, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CZ8080237652,315700NSDCC9UTWUGI91,"Allianz účastnický povinný konzervativní fond, Allianz penzijní společnost, a. s.","Allianz penzijní společnost, a.s.","Ke Štvanici 656/3, 18600, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CZ8080237660,315700URTC2C5Y5V4Q86,"Allianz vyvážený účastnický fond, Allianz penzijní společnost, a. s.","Allianz penzijní společnost, a.s.","Ke Štvanici 656/3, 18600, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CZ75165554,315700CA9ZFZH9GM1743,"Alternativní účastnický fond, Rentea penzijní společnost, a.s.","Rentea penzijní společnost, a.s.","Türkova 2319/5b, 14900, Praha 11",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CZ8080237708,315700VHYQ61Q4SZ4548,"Conseq dluhopisový účastnický fond, Conseq penzijní společnost, a. s.","Conseq penzijní společnost, a.s.","Rybná 682/14, 11000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CZ8080237716,315700ZGZV2PNRZTTJ70,"Conseq globální akciový účastnický fond, Conseq penzijní společnost, a. s.","Conseq penzijní společnost, a.s.","Rybná 682/14, 11000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CZ8080237695,3157007BEEE44LB0RL85,"Conseq povinný konzervativní fond, Conseq penzijní společnost, a. s.","Conseq penzijní společnost, a.s.","Rybná 682/14, 11000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CZ75165741,3157000EGAH4V26RBJ47,"Conseq realitní účastnický fond, Conseq penzijní společnost, a.s.","Conseq penzijní společnost, a.s.","Rybná 682/14, 11000, Praha 1",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CZ75163161,315700V3IQ7BGNKV5R93,"Conseq Target Bond 2035 účastnický fond, Conseq penzijní společnost, a.s.","Conseq penzijní společnost, a.s.","Rybná 682/14, 11000, Praha 1",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CZ8080237812,315700V02P5SNIP4C524,"Conseq Transformovaný fond Conseq penzijní společnosti, a. s.","Conseq penzijní společnost, a.s.","Rybná 682/14, 11000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CZ8080237636,3157009MC3HMOLMHM238,"ČSOB dynamický účastnický fond ČSOB Penzijní společnosti, a. s., člena skupiny ČSOB","ČSOB Penzijní společnost, a. s., člen skupiny ČSOB","Radlická 333/150, 15000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CZ75163501,3157007UVHS85RJDFT97,"ČSOB dynamický zodpovědný účastnický fond ČSOB Penzijní společnosti, a. s., člena skupiny ČSOB","ČSOB Penzijní společnost, a. s., člen skupiny ČSOB","Radlická 333/150, 15000, Praha 5",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CZ8080237644,31570070WXCDEXHCIK18,"ČSOB garantovaný účastnický fond ČSOB Penzijní společnosti, a. s., člena skupiny ČSOB","ČSOB Penzijní společnost, a. s., člen skupiny ČSOB","Radlická 333/150, 15000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CZ75161478,315700YTV3BOCEYNSU82,"ČSOB pro penzi účastnický fond ČSOB Penzijní společnosti, a. s., člena skupiny ČSOB","ČSOB Penzijní společnost, a. s., člen skupiny ČSOB","Radlická 333/150, 15000, Praha 5",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CZ8080237601,315700CO9QU17L0PIZ78,"ČSOB účastnický povinný konzervativní fond ČSOB Penzijní společnosti, a. s., člena skupiny ČSOB","ČSOB Penzijní společnost, a. s., člen skupiny ČSOB","Radlická 333/150, 15000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CZ8080237628,315700U5SF05R22R4P39,"ČSOB vyvážený účastnický fond ČSOB Penzijní společnosti, a. s., člena skupiny ČSOB","ČSOB Penzijní společnost, a. s., člen skupiny ČSOB","Radlická 333/150, 15000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CZ8080237468,31570010000000101848,"Dluhopisový účastnický fond UNIQA penzijní společnosti a.s.","UNIQA penzijní společnost, a.s.","Evropská 810/136, 16000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CZ75162491,315700XW0YXXJQCD2I44,"Dluhopisový účastnický fond, Rentea penzijní společnost, a.s.","Rentea penzijní společnost, a.s.","Türkova 2319/5b, 14900, Praha 11",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CZ8080237388,315700GIHHXUNUQSR479,"Dynamický účastnický fond doplňkového penzijního spoření se státním příspěvkem Česká spořitelna - penzijní společnost, a. s.","Česká spořitelna - penzijní společnost, a.s.","Poláčkova 1976/2, 14000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CZ8080237580,315700XDP4K8XHLF5U63,"Dynamický účastnický fond Generali penzijní společnosti, a.s.","Generali penzijní společnost, a.s.","Na Pankráci 1720/123, 14000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CZ75160544,3157003GWBIJI472WE15,"Etický účastnický fond doplňkového penzijního spoření se státním příspěvkem Česká spořitelna - penzijní společnost, a.s.","Česká spořitelna - penzijní společnost, a.s.","Poláčkova 1976/2, 14000, Praha 4",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CZ75165414,315700RUV9KV7ONMKI02,"Fond pro budoucnost - alternativní účastnický fond doplňkového penzijního spoření se státním příspěvkem Česká spořitelna - penzijní společnost, a.s.","Česká spořitelna - penzijní společnost, a.s.","Poláčkova 1976/2, 14000, Praha 4",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CZ75165384,315700P9YE6N0MQHNQ31,"Future alternativní účastnický fond Generali penzijní společnosti, a.s.","Generali penzijní společnost, a.s.","Na Pankráci 1720/123, 14000, Praha 4",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CZ8080237521,3157005RNQNKU0CX8R25,"KB akciový účastnický fond KB Penzijní společnosti, a.s.","KB Penzijní společnost, a.s.","náměstí Junkových 2772/1, 15500, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CZ8085331496,315700MKB041VKKAKR17,"KB dluhopisový účastnický fond KB Penzijní společnosti, a.s.","KB Penzijní společnost, a.s.","náměstí Junkových 2772/1, 15500, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CZ75161630,9845008654D75AFB5556,"KB peněžní účastnický fond KB Penzijní společnosti, a.s.","KB Penzijní společnost, a.s.","náměstí Junkových 2772/1, 15500, Praha 13",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CZ8080237513,3157002UGM2D5JDKFI87,"KB povinný konzervativní účastnický fond KB Penzijní společnosti, a. s.","KB Penzijní společnost, a.s.","náměstí Junkových 2772/1, 15500, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CZ8080237548,315700140005VT44F768,"KB vyvážený účastnický fond KB Penzijní společnosti, a. s.","KB Penzijní společnost, a.s.","náměstí Junkových 2772/1, 15500, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CZ8080237564,315700SZIN89185MSS22,"Povinný konzervativní fond Generali penzijní společnosti, a.s.","Generali penzijní společnost, a.s.","Na Pankráci 1720/123, 14000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CZ8080237409,315700KUOBCUUSP7EK75,"Povinný konzervativní fond NN Penzijní společnosti, a. s.","NN Penzijní společnost, a.s.","Nádražní 344/25, 15000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CZ8080237361,315700C529KN1B01VY73,"Povinný konzervativní účastnický fond doplňkového penzijního spoření se státním příspěvkem Česká spořitelna - penzijní společnost, a. s.","Česká spořitelna - penzijní společnost, a.s.","Poláčkova 1976/2, 14000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CZ8080237441,31570010000000101751,"Povinný konzervativní účastnický fond UNIQA penzijní společnosti a.s.","UNIQA penzijní společnost, a.s.","Evropská 810/136, 16000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CZ75162482,31570033IBAVJVCQ2616,"Povinný konzervativní účastnický fond, Rentea penzijní společnost, a.s.","Rentea penzijní společnost, a.s.","Türkova 2319/5b, 14900, Praha 11",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CZ8085329142,315700Y9XMFNKUPBYC56,"Růstový účastnický fond NN Penzijní společnosti, a. s","NN Penzijní společnost, a.s.","Nádražní 344/25, 15000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CZ8080237599,315700H76V1HSMBAIW69,"Spořicí účastnický fond Generali penzijní společnosti, a.s.","Generali penzijní společnost, a.s.","Na Pankráci 1720/123, 14000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CZ8080237775,3157003S2DQEG39LNR50,"Transformovaný fond Generali penzijní společnosti, a.s.","Generali penzijní společnost, a.s.","Na Pankráci 1720/123, 14000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CZ8080237783,315700HMUJED9FTZB756,"Transformovaný fond KB Penzijní společnosti, a. s.","KB Penzijní společnost, a.s.","náměstí Junkových 2772/1, 15500, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CZ8080237791,315700H3F7P87P0A4364,"Transformovaný fond NN Penzijní společnosti, a. s.","NN Penzijní společnost, a.s.","Nádražní 344/25, 15000, Praha",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
