CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DEA3I87,529900DU31RELHZ50P77,"Allgemeine Rentenanstalt Pensionskasse AG",,"Gutenbergstraße 30, 70176, Stuttgart",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DEA3U42,529900QIECQ5ML8O8P18,"Allianz Pensionsfonds Aktiengesellschaft",,"Heßbrühlstraße 2, 70565, Stuttgart",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
DEA06Q4,529900J2RGEB3V10PJ36,"Allianz Pensionskasse Aktiengesellschaft",,"Heßbrühlstraße 2, 70565, Stuttgart",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
DEALCLB,5299003X43DQSUMWRT50,"Allianz Versorgungskasse Versicherungsverein a.G.",,"Königinstraße 28, 80802, München",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DEA3FNV,529900J55BKNJIF5G376,"ALTE LEIPZIGER Pensionsfonds AG",,"Alte Leipziger-Platz 1, 61440, Oberursel",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
DEA3EWT,529900IK4DII5SFA6N90,"ALTE LEIPZIGER Pensionskasse AG",,"Alte Leipziger-Platz 1, 61440, Oberursel",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
DEA4L1X,529900ZQDMWGB1CTL921,"Alters- und Hinterbliebenen- Versicherung der Technischen Überwachungs-Vereine-VVaG-",,"Kurfürstenstraße 56, 45138, Essen",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DEAMKQC,,"Altersversorgungskasse der Fa. Eberspächer",,"Eberspächerstraße 24, 73730, Esslingen",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEAMKPJ,529900G6EXL2BJA98F89,"Altersversorgungswerk der Zahnärztekammer Niedersachsen",,"Zeißstraße 11a, 30519, Hannover",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DEAMKPT,529900P93W4FRDQDIO39,"Altersversorgungswerk der Zahnärztekammer Sachsen-Anhalt",,"Zeißstraße 11a, 30519, Hannover",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
DEALCLS,,"Angest.-Pensionskasse der dt. Geschäftsbetriebe der Georg Fischer Aktiengesellschaft Schaffhausen (Schweiz)",,"3 40, Julius-Bührer-Straße 16, 78224, Singen",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DEA40V4,391200YG4IF1BTH1AT22,"Apothekerversorgung Berlin",,"Potsdamer Straße 47, 14163, Berlin",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DEAMKPM,529900C6CTZUQNZ2C849,"Apothekerversorgung Mecklenburg-Vorpommern",,"Wismarsche Straße 304, 19055, Schwerin",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DEAMKR1,391200OUYLSJE080CW06,"Apothekerversorgung Niedersachsen",,"Potsdamer Straße 47, 14163, Berlin",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DEAJI2Z,391200J1DGRQLM3PC514,"Ärzteversorgung Land Brandenburg",,"Ostrower Wohnpark 2, 03046, Cottbus",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DEA3NOM,529900XAUTB3ZVQHVX34,"Ärzteversorgung Mecklenburg-Vorpommern",,"Gutenberghof 7, 30159, Hannover",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
DEA44NK,529900P2XQBAIZ5BJG69,"Ärzteversorgung Niedersachsen",,"Gutenberghof 7, 30159, Hannover",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DEA3GBN,529900IJTF6B8L3W1524,"Ärzteversorgung Sachsen-Anhalt",,"Gutenberghof 7, 30159, Hannover",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
DEA3O79,529900T3X2XFR4D00754,"Ärzteversorgung Thüringen",,"Im Semmicht 33, 07751, Jena-Maua",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
DEAJI32,529900UZIZLW0OVXPU33,"Ärzteversorgung Westfalen-Lippe, Einrichtung der Ärztekammer Westfalen Lippe KdöR",,"Scharnhorststraße 44, 48151, Münster",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DEA492M,391200TLD115TCSBUR64,"Athora Pensionskasse Aktiengesellschaft",,"Söhnleinstraße 8, 65201, Wiesbaden",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DEALCMB,391200Y53X0R6HGEQ073,"Audi Pensionskasse-Altersversorgung der AUTO UNION GmbH, Versicherungsverein auf Gegenseitigk. (VVaG",,"100 2, Auto-Union-Straße, 85045, Ingolstadt",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEA3JVN,529900WYWP65MADFKP75,"Babcock Pensionskasse VVaG",,"10 02, Elsa-Brändström-Straße 1, 46045, Oberhausen, Rheinl",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
DEAJI2U,52990049QCFKEJB3G408,"Baden-Badener Pensionskasse VVaG",,"Hans-Bredow-Straße 2, 76530, Baden-Baden",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DEAC5QU,529900KCMKYA3DAH5562,"Baden-Württembergische Versorgungsanstalt für Ärzte, Zahnärzte und Tierärzte",,"Gartenstraße 63, 72074, Tübingen",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
DEA3JYN,529900L83BWCMJ2TCI54,"BASF Pensionskasse VVaG",,"Carl-Bosch-Straße 38, 67056, Ludwigshafen",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DEALCL3,549300CELUKPR8P5J820,"Bayer-Pensionskasse",,"Kaiser-Wilhelm-Allee 10, 51373, Leverkusen",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DEA0G2Y,529900V3QHYNST2Y0022,"Bayerische Apothekerversorgung",,"Arabellastraße 31, 81925, München",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DEAC5OL,529900S0KP75QTZ61N31,"Bayerische Architektenversorgung",,"Arabellastraße 31, 81925, München",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DEAC6ZM,5299002HW6NNE36HVB91,"Bayerische Ärzteversorgung",,"Arabellastraße 31, 81925, München",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
DEAC5JL,529900KJ7C8X31TVSP77,"Bayerische Ingenieurversorgungs-Bau mit Psychotherapeutenversorgung",,"Arabellastraße 31, 81925, München",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
