CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DK71981312,549300H1N8MKSYQG3B91,"A/S JYSKE BANKS PENSIONSTILSKUDSFOND",,"Vestergade 8, 8600, Silkeborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
DK43405810,549300Y1IIQ0WYJR9F68,"Arbejdsmarkedets Tillægspension (ATP)",,"Kongens Vænge 8, 3400, Hillerød",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
DK11455131,,"Arbejdsmarkedets Tillægspension (fonds)",,"Kongens Vænge 8, 3400, Hillerød",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DK22078615,5493006B07FS900PHY76,"Arkitekternes Pensionskasse",,"Smakkedalen 8, 2820, Gentofte",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
DK71974928,,"ATP PENSIONSKAPITAL AFGIFT",,"Kongens Vænge 8, 3400, Hillerød",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DK69874118,,"Bg Bank Provinsdirektørernes Pensionskasse",,"Bernstorffsgade 40, 1577, København V",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
DK26854873,549300S7NEAJNLVM4K28,"Carlsberg A/S Pensions- og understøttelsesfond",,"J.C. Jacobsens Gade 1, 1799, København V",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DK82197613,549300JKI7QY9UZN6R46,"Cerestar Scandinavias Pensionskasse",,"Vandtårnsvej 62, 2860, Søborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DK71939618,5493004248OZUGB8FK07,"CS-Pensionsfond",,"Snorresgade 15, 1, 2300, København S",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
DK71971910,549300BVMBS5QH2L3D44,"Danmarks Nationalbanks Pensionskasse under afvikling",,"Havnegade  5, 1058, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DK29552185,,"Danske Banks Pensionskasse for medarbejdere med tilsagnsordni ng i Danica",,"Bernstorffsgade 40, 1577, København V",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
DK18106132,213800NZLLDNKWS7RL74,"FL Smidth Pensions-Tilskudsfond af 1994",,"Vigerslev Allé 77, 2500, Valby",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DK12551371,213800BI3Z9EAJR7GY84,"Ford Motor Companys Pensionskasse",,"Gammel Mønt  12, 5, 1117, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
DK72339118,254900KBFDTPBVJFN291,"Fællesbankens Pensionsreguleringsfond",,"Gammel Mønt 12, 1117, København K",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DK85752715,8QNUBZJHHH4FU880V498,"IBM Pensionsfond (pensionskasse)",,"Prøvensvej  1, 2605, Brøndby",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
DK19676889,5299000NAW3RQAVXMI33,"Juristernes og Økonomernes Pensionskasse",,"Dirch Passers Allé 76, 2000, Frederiksberg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DK71966828,213800UUBIJ1NBLZKO49,"Københavns Havns Pensionskasse",,"2083, Nordre Toldbod  7, 1259, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
DK71977013,5493007L7F6LM3VFER58,"Kreditforeningen Danmarks Pensionsafviklingskasse",,"Lersø Parkallé  100, 2100, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DK15409010,549300RIFCM67IXP9R66,"Lodspensionskassen (Afviklingskasse)",,"Lyskaer 1, 3, 2730, Herlev",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
DK24260402,529900ADCRMS97AZYR34,"Lægernes Pensionskasse",,"Dirch Passers Allé 76, 2000, Frederiksberg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
DK20766816,549300XV3812QGUFUZ14,"MP PENSION - PENSIONSKASSEN FOR MAGISTRE & PSYKOLOGER",,"Smakkedalen 8, 2820, Gentofte",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
DK17526405,549300MEEWBAJ1IGTW69,"NAVIGATØRERNES PENSIONSFOND",,"Sundkrogsgade 4, 2100, København Ø",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
DK24256219,213800DR6F4FGQLTGO16,"Nykredits Afviklingspensionskasse",,"4067, Gammel Mønt  12, 5, 1117, Copenhagen",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
