CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FI01450724,743700ZJP7GW12ACA811,"Ålandsbanken Abps Pensionsstiftelse",,"TORGGATAN 3, 22100, MARIEHAMN",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
FI01999434,74370009MOJCTTLJ0J43,"Eläkesäätiö Neliapila",,"Energiakatu 4, 00180, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
FI02227217,213800P7H24TPRIZTE45,"Finnairin Eläkesäätiö",,"PL 15, Lentäjäntie 1 D, 01530, Vantaa",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
FI01165587,7437008K7VUT2T1B3082,"Fortumin Eläkesäätiö",,"Keilaniementie 2-4, 02150, Espoo",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
FI01975758,743700J20KBJ16TMV973,"Huhtamäki Oyj:n Eläkesäätiö",,"c/o Porasto Oy, 00560, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
FI06721298,,"Kaiko Oy:n Eläkesäätiö",,"HENRY FORDINKATU 5 C, 00150, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FI06247397,743700D42GIHO5X6P349,"Kemijoki Oy:n eläkesäätiö",,"VALTAKATU 9-11, 96100, ROVANIEMI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FI02000004,743700JFYWT4I91VO051,"Keskon Eläkekassa",,"Työpajankatu 12, 00580, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
FI02132103,743700N0ISG0WSB22J67,"L-Fashion Group Oy:n eläkesäätiö",,"Arabiankatu 12, 00560, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FI02143945,743700ZB0XJ3ONLKKD20,"Laminon Eläkesäätiö",,"PL 476, 33101, TAMPERE",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FI01450628,743700O9SIUK80ALBS63,"Lundqvist - rederiernas pensionsstiftelse",,"N.ESPLANADGATAN 9, 22100, MARIEHAMN",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
FI02000098,743700KUNCE724EU2883,"Maataloustuottajain eläkesäätiö",,"PL 51, Simonkatu 6, 00100, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FI02227225,,"Merimies-Unionin Eläkesäätiö, selvitystilassa",,"UUDENMAANKATU 16 B, 00120, HELSINKI",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
FI02014369,549300Y8Y8GE60GFX695,"Nordean eläkesäätiö",,"Satamaradankatu 5, 00020, NORDEA",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
