CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FR833105067,213800LCUDBDIMO5L142,"ABEILLE RETRAITE PROFESSIONNELLE",,"70 AVENUE DE L EUROPE, 92270, BOIS COLOMBES",Mixed,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
FR824599211,969500FK5EKEPBGQ7A12,"ALLIANZ RETRAITE",,"1 COURS MICHELET CS 30051, 92800, PUTEAUX",Mixed,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
FR338746464,969500JTNCDMAQ7QB087,"APICIL EPARGNE RETRAITE (FRANCE)",,"38 RUE FRANCOIS PEISSEL, 69300, PARIS",Mixed,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FR410241657,9695008H4RKQ5E1SRK50,"ARIAL CNP ASSURANCES",,"32 AVENUE EMILE ZOLA, 59370, MONS EN BAROEUL",Mixed,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FR534107255,969500ZVE0GK8FZD7481,"AXA RETRAITE ENTREPRISE",,"313 TERRASSES DE L'ARCHE, 92700, NANTERRE CEDEX",Mixed,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
FR922514914,969500DP8KMALMMIG463,"CARCO FRPS",,"15 avenue de l'Opéra, 75001, PARIS",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
FR903364321,96950028N6W91I6HTT82,"CARDIF RETRAITE",,"1 BOULEVARD HAUSSMANN, 75009, PARIS",Mixed,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
FR908709678,9695002GWO9LNR38XR94,"CCPMA RETRAITE SUPPLEMENTAIRE",,"21, RUE DE LA BIENFAISANCE, 75008, PARIS",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
FR892347501,969500WKARA61EDJ3M51,"CNP RETRAITE",,"4 PLACE RAOUL-DAUTRY, 75015, PARIS",Mixed,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
FR891966574,969500TH0T4OB2I86J34,"CPCEA RETRAITE SUPPLEMENTAIRE",,"21 RUE DE LA BIENFAISANCE, 75008, PARIS",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
FR905383667,969500J0J1H1GRL7KK86,"CREDIT AGRICOLE ASSURANCES RETRAITE",,"16-18 BOULEVARD DE VAUGIRARD, 75015, PARIS",Mixed,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FR180092488,969500W9BLLVD0GGCD91,"ETABLISSEMENT DE RETRAITE ADDITIONNELLE DE LA FONCTION PUBLI",,"12     RUE  PORTALIS, 75008, PARIS 08 EME",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
FR907943989,969500V4YILJ4T7S2050,"GARANCE RETRAITE",,"51, rue de Châteaudun, 75009, PARIS",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
FR880265418,969500NMPD43TU08NI50,"GENERALI RETRAITE",,"89 RUE TAITBOUT, 75009, PARIS",Mixed,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
