CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
GRPF018,213800TD14L4538QCF30,"ACCENTURES PERSONNEL INSTITUTION FOR OCCUPATIONAL RETIREMENT LIFE AND MEDICAL PROVISION- IORLMP ACCENTURE",,"ARKADIAS 1, 14564, KIFISIA",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
GRPF030,2138002TRICKJIRDC259,"INSTITUTION FOR OCCUPATIONAL RETIREMENT PROVISION FOR EMPLOYEES AND ASSOCIATES OF DYNAMIS AND GENKA",,"10, Vasilissis Sofias Av., 15124, ATHENS",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
GRPF027,213800GSUMR5Q4USIE11,"INSTITUTION FOR OCCUPATIONAL RETIREMENT PROVISION OF ATHENS INTERNATIONAL AIRPORT S.A. PERSONNEL - IORP AIA",,"ATHENS INTERNATIONAL AIRPORT KT.1  SPATA, 19019, ATHENS",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
GRPF029,213800I8OCHDZXSRPF33,"INSTITUTION FOR OCCUPATIONAL RETIREMENT PROVISION OF EUROBANK’S GROUP PERSONNEL",,"FEIDIOU 9, 10678, ATHENS",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
GRPF028,213800ETCR1A92YY2D64,"INSTITUTION FOR OCCUPATIONAL RETIREMENT PROVISION OF EUROLIFE FFH GROUP",,"PANEPISTIMIOU 33-35 & KORAI, 10564, ATHENS",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
GRPF005,,"INSTITUTION FOR OCCUPATIONAL RETIREMENT PROVISION OF THE MINISTRY OF FINANCE",,"AKADIMIAS 76, 10678, Athens",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
GRPF020,21380062S2QC1AVQUI81,"Interamerican Insurance Intermediaries occupational pension fund",,"MESOGEION AV 2-4, 11527, Athens",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
GRPF013,213800DYTT91P53KGT79,"INTERAMERICAN OCCUPATIONAL PENSION FUND",,"PYRGOS ATHINWN, MESSOGEIWN AVE. 2-4, 11527, Athens",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
GRPF032,,"IORP ALPHA SERVICES AND HOLDINGS GROUP PERSONNEL",,"2-4, Mesogeion Av., Athnes Tower, 24th floor, 11527, ATHENS",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
GRPF025,213800DCYCLIIDRTSY06,"IORP PIRAEUS BANK'S GROUP-PIRAEUS BANK'S PERSONEL INSTITUTION FOR OCCUPATIONAL RETIREMENT LIFE AND MEDICAL PROVISION",,"AMERIKHS 4, 10564, Athens",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
GRPF006,213800EJLTAARNPR9E55,"Occupational Insurance Fund for Economists",,"Mitropoleos 12-14, 10563, Athens",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
GRPF010,213800HSDL1U6N7J3489,"OCCUPATIONAL INSURANCE FUND OF AIR TRAFFIC CONTROLLERS OF GREECE",,"L. KYPROY 29 ARGIROUPOLH, 16451, Athens",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
