CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
HU18076334,2138006TXRR1PCZLML85,"Alfa Önkéntes Nyugdíjpénztár",,"ÜLLŐI ÚT 1., 1091, Budapest 09. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
HU18080966,529900R8DDG5NATQTN06,"ALLIANZ HUNGÁRIA ÖNKÉNTES NYUGDÍJPÉNZTÁR",,"1242, KÖNYVES KÁLMÁN KÖRÚT 48-52., 1087, Budapest 08. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
HU18069493,2138002J1B33BGQBGT63,"Aranykor Országos Önkéntes Nyugdíjpénztár",,"JÓZSEF NÁDOR TÉR 5-6., 1051, Budapest 05. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
HU18067123,52990040MM7JI3USO804,"ARTISJUS Kardos Gyula Kiegészítő Nyugdíjpénztár",,"Mészáros utca 15-17., 1016, Budapest 01. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
HU18061457,2138005BDDSY8P1GK623,"Bizalom Országos Önkéntes Kölcsönös Nyugdíjpénztár",,"BOROSTYÁN UTCA 1/B., 1146, Budapest 14. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
HU18235207,529900BL9GHPR46OV686,"BONGRAIN MAGYARORSZÁG ÖNKÉNTES NYUGDÍJPÉNZTÁR",,"KISTÓ UTCA 9., 8200, Veszprém",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
HU18088201,5299003ARVHRWVDR7963,"Budapest Magánnyugdíjpénztár",,"1242, VÁCI ÚT 193., 1138, Budapest 13. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
HU18087664,5299004SA73BCSOI6D44,"Budapest Országos Önkéntes Kölcsönös Nyugdíjpénztár",,"1245, VÁCI ÚT 193., 1138, Budapest 13. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
HU18068849,549300BEG54L41448S93,"Budapesti Elektromos Művek Rt. Munkavállalói Nyugdíjpénztára",,"KUNIGUNDA ÚTJA 68., 1033, Budapest 03. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
HU18066775,213800JKD9RYOH2Y7218,"CHINOIN Gyógyszer és Vegyészeti Termékek Gyára Rt. Munkavállalói Nyugdíjpénztára",,"1325, TÓ UTCA 1-5., 1045, BUDAPEST 04. KER.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
HU18226010,529900YQRQWTATJJE678,"Cimbora Önkéntes Kölcsönös Biztosító Nyugdíjpénztár",,"KENDE UTCA 13-17., 1111, BUDAPEST 11. KER.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
HU18079296,5299008AF52N7AXY5195,"DUNASTYR Polisztirolgyártó Zártkörűen Működő Részvénytársaság Kiegészítő Nyugdíjpénztára",,"2443, ÁRPÁD FEJEDELEM ÚTJA 26-28., 1023, Budapest 02. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
HU18060542,549300X5JQDJPZWMZX19,"Életút Nyugdíjpénztár",,"1536, KRISZTINA KÖRÚT 7., 1122, Budapest 12. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
HU18068021,5493000V5EF3ZXEY9966,"Első Rendőri Kiegészítő Nyugdíjpénztár, a Belügyi Nyugdíjpénztár",,"1903, RÓNA UTCA 124., 1145, BUDAPEST 14. KER.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
HU18075285,5299002S5T14WX9WNQ43,"ERSTE  Önkéntes Nyugdíjpénztár",,"1461, NÉPFÜRDŐ UTCA 24-26., 1138, Budapest 13. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
HU18215625,5299002DTGSSVP4GGS34,"Generali Önkéntes Nyugdíjpénztár",,"TERÉZ KÖRÚT 42-44., 1066, Budapest 06. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
HU18079409,549300IK5GZ1HQ6RKL27,"Gondoskodás Nyugdíjpénztár",,"VÁCI ÚT 23-27., 1134, Budapest 13. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
HU18066830,529900NOKPHNCYOQSN18,"Honvéd Közszolgálati Önkéntes Nyugdíjpénztár",,"ABA UTCA 4., 1135, BUDAPEST 13. KER.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
HU20426334,529900XPSW2O62SYNS18,"Horizont Magánnyugdíjpénztár",,"Dunavirág utca 2-6. 3. lépcsőház V.emelet, 1138, Budapest 13. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
HU18071841,529900QQZSLI78E3NQ17,"MENTŐ Nyugdíjpénztár",,"RÓBERT K. KÖRÚT 77., 1134, BUDAPEST 13. KER.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
HU18303645,529900VXNMJI5QP9PD66,"Mező Nyugdíjpénztár",,"Köztársaság tér 2., 7623, Pécs",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
HU18068227,529900Z790N99OYX0111,"OTP Önkéntes Kiegészítő Nyugdíjpénztár",,"NÁDOR UTCA 16., 1051, Budapest 05. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
HU18105564,529900766BSZGYB81Z45,"OTP Országos Egészség- és Önsegélyező Pénztár",,"VÁCI ÚT 135-139., 1138, Budapest 13. ker.",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
HU18067879,529900Y8GKGVDQ9S1J28,"Pannónia Nyugdíjpénztár",,"1441, BENCZÚR UTCA 11., 1068, Budapest 06. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
HU18077744,52990056NJBUUZACL235,"PRÉMIUM Önkéntes Nyugdíjpénztár",,"1399, Dunavirág utca 2-6., 1138, Budapest 13. ker.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
HU18530193,549300JUKS0VTKDXNO91,"RÁBA Önkéntes Kiegészítő Nyugdíjpénztár",,"9002, MARTIN UTCA 1., 9027, Győr",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
