CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
IT0004971255185,529900DXBYFKKYZX7M57,"ALLIANZ PREVIDENZA FONDO PENSIONE APERTO A CONTRIBUZIONE DEFINITA",,"Piazza Tre Torri, 3, 20145, MILANO",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
IT0004968611888,549300KN427J7D56P427,"ALMEGLIO - FONDO PENSIONE APERTO ALLEANZA A CONTRIBUZIONE DEFINITA",,"Piazza Tre Torri, 1, 20145, MILANO",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
IT0003992193936,5493002HRENNWLVY0235,"ARCA PREVIDENZA FONDO PENSIONE APERTO",,"Via Disciplini, 3, 20123, MILANO",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
IT0003617835746,549300T7G6V6Q8TMBM39,"ARCO FONDO NAZIONALE PENSIONE COMPLEMENTARE",,"Piazza Duca d'Aosta, 10, 20124, MILANO",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
IT0004969669538,549300S7C0RLJD0KPO41,"ARTI & MESTIERI - FONDO PENSIONE APERTO",,"Corso Garibaldi, 99, 20121, MILANO",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
IT0000342566363,213800AV4TDPM7YILN13,"ASSOCIAZIONE FONDO PENSIONE COMPLEMENTARE A CAPITALIZZAZIONE PER I LAVORATORI DELL'INDUSTRIA CHIMICA E FARMACEUTICA E DEI SETTORI AFFINI in forma abbreviata FONCHIM",,"Via Giovanni da Procida, 11, 20149, MILANO",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
IT0005022128557,815600C4BC7327D18851,"AZIMUT PREVIDENZA - FONDO PENSIONE APERTO",,"Via Cusani, 4, 20121, MILANO",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
IT0005057668570,8156002A151766CA6418,"AZIMUT SUSTAINABLE FUTURE - FONDO PENSIONE APERTO",,"Via Cusani, 4, 20121, MILANO",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
IT0004968672849,815600BC729268A46088,"AZIONE DI PREVIDENZA - FONDO PENSIONE APERTO",,"Piazza Guglielmo Marconi, 25, 00144, ROMA",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
IT0004971255593,8156004EEAF599C9DB95,"BAP PENSIONE 2007 FONDO PENSIONE APERTO",,"Via San Francesco d'Assisi, 10, 10122, MILANO",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
