CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LTLMN-61/67,21380079ECTUTS7N6Q41,"1961-1967 gimimo metų tikslinės pensijų fondų dalyvių grupės pensijų kaupimo fondas „Luminor 1961-1967 tikslinės grupės pensijų fondas“","Luminor investicijų valdymas UAB","Konstitucijos pr. 21 A, LT-08, Vilniaus m. sav. Vilniaus m.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LTLMN-68/74,213800GY4VI6P877RY06,"1968-1974 gimimo metų tikslinės pensijų fondų dalyvių grupės pensijų kaupimo fondas „Luminor 1968-1974 tikslinės grupės pensijų fondas“","Luminor investicijų valdymas UAB","Konstitucijos pr. 21 A, LT-08, Vilniaus m. sav. Vilniaus m.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LTLMN-75/81,213800QH6N3LGPOXQC87,"1975-1981 gimimo metų tikslinės pensijų fondų dalyvių grupės pensijų kaupimo fondas „Luminor 1975-1981 tikslinės grupės pensijų fondas“","Luminor investicijų valdymas UAB","Konstitucijos pr. 21 A, LT-08, Vilniaus m. sav. Vilniaus m.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LTLMN-82/88,213800EWFIMPUSNYIN89,"1982-1988 gimimo metų tikslinės pensijų fondų dalyvių grupės pensijų kaupimo fondas „Luminor 1982-1988 tikslinės grupės pensijų fondas“","Luminor investicijų valdymas UAB","Konstitucijos pr. 21 A, LT-08, Vilniaus m. sav. Vilniaus m.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LTLMN-89/95,213800VSLT1T9IZVTT72,"1989-1995 gimimo metų tikslinės pensijų fondų dalyvių grupės pensijų kaupimo fondas „Luminor 1989-1995 tikslinės grupės pensijų fondas“","Luminor investicijų valdymas UAB","Konstitucijos pr. 21 A, LT-08, Vilniaus m. sav. Vilniaus m.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LTLMN-96/02,2138006N1F624UVS9M60,"1996-2002 gimimo metų tikslinės pensijų fondų dalyvių grupės pensijų kaupimo fondas „Luminor 1996-2002 tikslinės grupės pensijų fondas“","Luminor investicijų valdymas UAB","Konstitucijos pr. 21 A, LT-08, Vilniaus m. sav. Vilniaus m.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LTLMN-03/09,213800ZG8DX56F8Z4303,"2003-2009 gimimo metų tikslinės pensijų fondų dalyvių grupės pensijų kaupimo fondas „Luminor 2003-2009 tikslinės grupės pensijų fondas“","Luminor investicijų valdymas UAB","Konstitucijos pr. 21 A, LT-08, Vilniaus m. sav. Vilniaus m.",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
LTAVI-03/09,,"Allianz D1 2003-2009 tikslinės grupės pensijų fondas","Allianz Lietuva gyvybės draudimas UAB","Lvovo g. 25, LT-09, Vilniaus m. sav. Vilniaus m.",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
LTAVI-TIPF,,"Allianz S turto išsaugojimo pensijų fondas","Allianz Lietuva gyvybės draudimas UAB","Lvovo g. 25, LT-09, Vilniaus m. sav. Vilniaus m.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LTAVI-61/67,,"Allianz X1 1961-1967 tikslinės grupės pensijų fondas","Allianz Lietuva gyvybės draudimas UAB","Lvovo g. 25, LT-09, Vilniaus m. sav. Vilniaus m.",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
