CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LURCSI0000010,22210081FE2380DTTD72,"BIL PENSION FUND",,"69 RTE. D'ESCH, L-147, LUXEMBOURG",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
LURCSI0000012,54930024M7T62LK6VO93,"COMPAGNIE LUXEMBOURGEOISE DE PENSION",,"1 PLACE DE METZ, L-193, LUXEMBOURG",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
LUBCL2000190,549300KOEE660D4N5L37,"Compagnie Luxembourgeoise de Pension (Assep), Compartiment BCEE",,"1, Place de Metz, L-295, Luxembourg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
LURCSI0000015,222100K21HIQIX3K8Z91,"EPENSION FUND EUROPE (ASSEP)",,"26 AVENUE DE LA LIBERTE, L-193, LUXEMBOURG",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
LURCSB0092212,5493001R0F1XVHDMVQ98,"ERNST & YOUNG INTERNATIONAL PENSION SCHEME V)",,"2 ROUTE DE TREVES, L-263, SENNINGERBERG",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LURCSF0001814,222100CW7KV2ZRW4VF16,"FONDS DE PENSION GOODYEAR, ASBL",,"AV. GORDON SMITH, L-774, COLMAR-BERG",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LURCSF0002178,549300T1H5YIWPGKL024,"FONDS DE PENSION ING LUXEMBOURG",,"26 PLACE DE LA GARE, L-161, LUXEMBOURG",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
LURCSI0000011,529900VR3ZTUVCS7BR32,"GENO-PENSIONSFONDS",,"4 RUE THOMAS EDISON, L-144, STRASSEN",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
LURCSI0000017,984500C0CWD0A0F92E67,"IME PENSION FUND",,"3 RUE GABRIEL LIPPMANN, L-536, MUNSBACH",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LURCSB0080358,549300AC1IN1H6237424,"KPMG PENSION SCHEME, SEPCAV",,"39 AVENUE JOHN F. KENNEDY, L-185, LUXEMBOURG",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LURCSI0000009,222100JZDX6EO0E0SN88,"LUX PRIME PENSION - ASSEP",,"50 AV. J-F KENNEDY, L-185, LUXEMBOURG",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
LURCSI0000003,549300F8T4W3JKEN2H27,"LUXEMBOURG PENSION FUND, ASSOCIATION D'EPARGNE PENSION",,"14 BOULEVARD ROYAL, L-244, LUXEMBOURG",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
LURCSF0007605,222100PQGRDHC6WXWP51,"SWISS LIFE INTERNATIONAL PENSION FUND",,"2-6 RUE EUGENE RUPPERT, L-245, LUXEMBOURG",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
LURCSI0000008,222100OXA5CRTDRCHB66,"THE CLEARSTREAM LUXEMBOURG PENSION FUND, (SEPCAVS)",,"42 AV. J-F KENNEDY, L-185, LUXEMBOURG",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
