CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LVB001101,213800E8Q1B2ZH2LUS88,"C Akciju indeksu pensiju plāns 18-45",,"Republikas laukums 2A, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
LVB001089,213800KQEW1MRA6RGM25,"C Akciju indeksu plāns 15-50",,"Republikas laukums 2A, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
LVB001053,213800J8ZEZSBGEREY03,"C Aktīvais pensiju plāns 46-55",,"Republikas laukums 2A, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001025,213800GN95HRXVGQ2757,"C Aktīvais plāns 51-60",,"Republikas laukums 2A, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LVB001022,213800LC7SJGZBMGMW48,"C Ilgtspējas plāns 15-50",,"Republikas laukums 2A, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
LVB001054,213800H4QSMHNDKWSC75,"C Sabalansētais pensiju plāns 56+",,"Republikas laukums 2A, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LVB001026,213800JKRIOXPTFSXE75,"C Universālais plāns 61+",,"Republikas laukums 2A, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
LVB001112,254900027MHWSXY3VF12,"INDEXO dzīves cikla plāns 1960-1969",,"Roberta Hirša iela 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
LVB001098,2549003FQNITZGGTNE38,"INDEXO dzīves cikla plāns 1970-1979",,"Roberta Hirša iela 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
LVB001099,254900F9NZORO9RYI052,"INDEXO dzīves cikla plāns 1980-1989",,"Roberta Hirša iela 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
LVB001100,254900036JXO3OU1Z595,"INDEXO dzīves cikla plāns 1990+",,"Roberta Hirša iela 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001069,875500UIQ483MS8R7474,"INDEXO pensiju plāns AKCIJAS",,"Roberta Hirša iela 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
LVB001070,8755000NVI3WEQN76G28,"INDEXO pensiju plāns OBLIGĀCIJAS",,"Roberta Hirša iela 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
LVB001027,5493009TD17SJ04QCE64,"INDEXO plāns Izaugsme 55-62",,"Roberta Hirša iela 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
LVB001028,549300NSO03HF7NG2W03,"INDEXO plāns Jauda 16-55",,"Roberta Hirša iela 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
LVB001029,549300C36L9J3JH1BI14,"INDEXO plāns Konservatīvais 62+",,"Roberta Hirša iela 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001030,213800PDQ7QS8DD43625,"INVL Ekstra plāns 47-52",,"Elizabetes iela 10B - 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
LVB001032,213800W48ZL9I22XQZ02,"INVL Komforta plāns 53-57",,"Elizabetes iela 10B - 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
LVB001033,213800C1YYHQYTR3KD74,"INVL Konservatīvais plāns 58+",,"Elizabetes iela 10B - 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
LVB001021,254900M6O9HJPAOW2780,"INVL Maksimālais plāns 16-46",,"Elizabetes iela 10B - 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001011,2549003SNAKLHPX4UC67,"INVL pensiju plāns Ekstra 18-49",,"Elizabetes iela 10B - 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LVB001049,254900GNMW7COHPVBJ87,"INVL pensiju plāns Komforts 50 - 69",,"Elizabetes iela 10B - 1, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
LVB001078,254900YNH6919I1UMW38,"Luminor Indekss+ plāns 16-48",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
LVB001130,2549000JF7DWNC2GV118,"Luminor Nākotne Indekss pensiju plāns 16-50",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LVB001077,254900O3UUVF4PS7QK11,"Luminor Nākotne Indekss+ pensiju plāns 16-50",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
LVB001056,254900KLECF9U23AYR88,"Luminor Nākotne pensiju plāns 50-55",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001055,2549009Z8DHE4OR1KN48,"Luminor Nākotne pensiju plāns 55+",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
LVB001096,254900XHHRFKOQMRM454,"Luminor plāns 16-48",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001006,254900H847L5IKAL8R95,"Luminor plāns 48-53",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001023,2549008NSKI75CX63K62,"Luminor plāns 53-58",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
LVB001035,254900RU5F04NYBERF34,"Luminor plāns 58+",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
LVB001034,254900B61OHHCMO73938,"Luminor plāns 62-65",,"Skanstes iela 12, LV-10, Rīga",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
