CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
MTA1MTPF60,5493009RX2IB3DAMW467,"APS OCCUPATIONAL PENSION SCHEME","PRAXIS PES MALTA LIMITED","1ST FLOOR,ORANGE POINT,DUN KARM STREET, BKR 1, BIRKIRKARA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
MTA1MTPF59,,"APS PERSONAL PENSION PLAN","PRAXIS PES MALTA LIMITED","1ST FLOOR,ORANGE POINT,DUN KARM STREET, BKR 1, BIRKIRKARA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
MTA1MTPF1,635400S2QAJ5SWETMX62,"AZURE RETIREMENT BENEFIT SCHEME","SOVEREIGN PENSION SERVICES LIMITED","45/13,,STRAIT STREET, VLT14, VALLETTA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MTA1MTPF2,2138007O76C8EWAX1986,"BOAL  and  CO MALTA PENSION","ITC INTERNATIONAL PENSIONS LIMITED","BUSINESS BOX,MSIDA VALLEY ROAD, BKR 1, BIRKIRKARA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
MTA1MTPF3,213800SHTH645RSTHW97,"BOURSE MALTA OVERSEAS PENSION SCHEME","BOURSE PENSION ADMINISTRATORS (MALTA) LIMITED","GROUND FLOOR,ORANGE POINT,DUN KARM STREET, BKR 1, BIRKIRKARA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
MTA1MTPF7,549300PB616O7H9M5342,"EXPLORER RETIREMENT SCHEME","PRAXIS PES MALTA LIMITED","1ST FLOOR,ORANGE POINT,DUN KARM STREET, BKR 1, BIRKIRKARA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MTA1MTPF9,213800T4PUSUHSY35O51,"INFINITY INTERNATIONAL PENSION PLAN","MC TRUSTEES (MALTA) LIMITED","BUSINESS BOX,MSIDA VALLEY ROAD, BKR 1, BIRKIRKARA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
MTA1MTPF11,213800OEX84KUB3QLK30,"ITC OCCUPATIONAL RETIREMENT SCHEME","ITC INTERNATIONAL PENSIONS LIMITED","BUSINESS BOX,MSIDA VALLEY ROAD, BKR 1, BIRKIRKARA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MTA1MTPF12,213800NCDNMN6RFQTO64,"ITC PERSONAL RETIREMENT SCHEME","ITC INTERNATIONAL PENSIONS LIMITED","BUSINESS BOX,MSIDA VALLEY ROAD, BKR 1, BIRKIRKARA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
MTA1MTPF13,213800RZZ6QYFROL7345,"KEMMUNA RETIREMENT BENEFIT SCHEME","SOVEREIGN PENSION SERVICES LIMITED","Level 5,ST.JULIANs BUSINESS CENTRE,ELIA ZAMMIT STREET, STJ31, ST JULIANS",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
MTA1MTPF14,391200OX1W4RLSRJ4R87,"LIFETIME OCCUPATIONAL PENSION SCHEME","CCGM PENSION ADMINISTRATORS LIMITED","EWROPA BUSINESS CENTRE,TRIQ DUN KARM, BKR 1, BIRKIRKARA",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
MTA1MTPF15,3912008V4YY7O94KS283,"LIFETIME PENSIONS PRIVATE PENSION SCHEME","CCGM PENSION ADMINISTRATORS LIMITED","EWROPA BUSINESS CENTRE,TRIQ DUN KARM, BKR 1, BIRKIRKARA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
MTA1MTPF16,2138005VXPSIEATNN271,"MCT MALET INTERNATIONAL RETIREMENT SCHEME","MC TRUSTEES (MALTA) LIMITED","LEVEL 2,REGIONAL BUSINESS CENTRE,UNIVERSITY HEIGHTS, MSD17, MSIDA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MTA1MTPF17,213800NSD2Y81CSJGF68,"MCT MALTA PRIVATE RETIREMENT SCHEME","MC TRUSTEES (MALTA) LIMITED","LEVEL 2,REGIONAL BUSINESS CENTRE,UNIVERSITY HEIGHTS, MSD17, MSIDA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
