CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
NL6830092,724500Y6JJP1TXK0K288,"'Stichting De Samenwerking',Pensioenfonds voor het Slagersbedrijf",,"Stationsweg 1, 3445A, WOERDEN",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
NL851667442B017,7245005WQ2ORQB6B1A82,"Allianz Premie Pensioen Instelling B.V.",,"Coolsingel 120, 3011A, ROTTERDAM",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL8106811,724500UCS191CHZD5C28,"ASR Premiepensioeninstelling N.V.",,"Archimedeslaan 10, 3584B, UTRECHT",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
NL0506383,724500KHBM10MIBGJN47,"BeFrank PPI N.V.",,"Spaklerweg 4, 1096B, AMSTERDAM",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
NL850792538B012,724500W2POER66JJQW87,"Centraal Beheer PPI",,"Foppingadreef 22, 1102B, AMSTERDAM",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NL3886029,549300JIZLPIYKLUKP61,"Collectiviteitkring flexibele regeling",,"",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
NL2866753,549300QVQBOHQ4VUW210,"De Nationale APF - Collectiviteitkring DB-A",,"De entree 232 unit 4.03, 1101 , AMSTERDAM",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
NL3650565,5493006QY67ITS8HME73,"De Nationale APF - Collectiviteitkring DC",,"De entree 232 unit 4.03, 1101 , AMSTERDAM",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
NL3610268,213800R8JH3UDWCWXT50,"De Nationale APF - Collectiviteitkring G",,"",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NL6158938,213800O2WVD1SDM6D810,"De Nationale APF - Collectiviteitkring H",,"SCHENKKADE 65; DEN HAAG, 2595 , THE HAGUE",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
NL8697504,549300GOHEWMD2JFRA93,"De Nationale APF - Kring AFM",,"De entree 232 unit 4.03, 1101 , AMSTERDAM",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
NL1001401114,549300OS4XLWUZU0LY60,"De Nationale APF - Kring ANWB",,"De Entree 232, 1101E, Amsterdam",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
NL8303610,549300B0I02H2OONVA17,"De Nationale APF - Kring D",,"De entree 232 unit 4.03, 1101 , AMSTERDAM",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
NL9081175,5493002BLKM5QRJBGJ08,"De Nationale APF - Kring McCain",,"De entree 232 unit 4.03, 1101 , AMSTERDAM",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
NL3988662,5493002ONUX3VCCYJS83,"De Nationale APF Kring B",,"Schenkkade 65, 2595 , Den Haag",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
NL7038989,72450023FIMHQMWPWC95,"Delta Asten Pensioen B.V.",,"Rinzemastraat 31, 8501L, JOURE",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
NL1958006,724500M5ZUQ6E7UIMF38,"Gofier B.V.",,"Karekietlaan 20, 2261C, LEIDSCHENDAM",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
NL1227658,724500Q15EMYK942G821,"Hagee Stichting",,"Bovenkerkerweg 10  - 12, 1185X, AMSTELVEEN",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NL1001336998,724500G74TWC62P2OM71,"Instelling Pensioenfonds van de Nederlandse Bisdommen",,"Akerstraat 92, 6411H, HEERLEN",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
NL7386891,213800KJWRAUBNUW6O10,"Kring Capgemini",,"",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
