CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLF2429,259400NJITWY6YMI7U94,"Allianz Plan Emerytalny 2025","Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.","ul. Inflancka 4B, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2430,25940022RFI5R8F23426,"Allianz Plan Emerytalny 2030","Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.","ul. Inflancka 4B, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2431,259400QM9VIPL12KK689,"Allianz Plan Emerytalny 2035","Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.","ul. Inflancka 4B, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2432,259400PECM4BQE73VP15,"Allianz Plan Emerytalny 2040","Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.","ul. Inflancka 4B, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2433,259400D7LV7INL1PS371,"Allianz Plan Emerytalny 2045","Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.","ul. Inflancka 4B, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2434,259400871FBG70CVCG79,"Allianz Plan Emerytalny 2050","Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.","ul. Inflancka 4B, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2435,259400MIF4MM19LYQW77,"Allianz Plan Emerytalny 2055","Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.","ul. Inflancka 4B, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2436,259400KU0KC1K6DUMN02,"Allianz Plan Emerytalny 2060","Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.","ul. Inflancka 4B, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2594,259400I4OLSPZPWTGJ06,"Allianz Plan Emerytalny 2065","Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.","ul. Inflancka 4B, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2774,259400BIY6ZXHYVUVC78,"Allianz Plan Emerytalny 2070","Towarzystwo Funduszy Inwestycyjnych Allianz Polska S.A.","ul. Inflancka 4B, 00-18, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLFE000016,2594002ASRIB9RA3RD30,"Allianz Polska Dobrowolny Fundusz Emerytalny","Powszechne Towarzystwo Emerytalne Allianz Polska S.A","ul. Rodziny Hiszpańskich 1, 02-68, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PLFE000008,259400KU7L57X8O6JX12,"Allianz Polska OFE","Powszechne Towarzystwo Emerytalne Allianz Polska S.A","ul. Rodziny Hiszpańskich 1, 02-68, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLF2491,2594001R1OZ1ACC55T05,"BNP Paribas PPK 2025","BNP Paribas Towarzystwo Funduszy Inwestycyjnych S.A.","ul. Grzybowska 78, 00-84, Warszawa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
