CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PT720005426,549300W503MOO0WULU59,"Aberto BBVA Desenvolvimento Conservador","BBVA - FUNDOS-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Av. da Liberdade, 222-6º, 1250-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PT720005434,549300VOJB6L8NR8M615,"Aberto BBVA Desenvolvimento Moderado","BBVA - FUNDOS-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Av. da Liberdade, 222-6º, 1250-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PT720019460,98450014E6B37D0E6C37,"Aberto BBVA Obrigações 2026","BBVA - FUNDOS-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Av. da Liberdade, nº 222, 1250-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
PT720021642,98450067A1GEE14AAA25,"Aberto BBVA Obrigações 2029","BBVA - FUNDOS-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Av. da Liberdade, nº 222, 1250-, Lisboa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
PT720022304,984500586X3EATC3E988,"Aberto Golden SGF Reforma ETF","GOLDEN - S.G.F. SOCIEDADE GESTORA DE FUNDOS DE PENSÕES, S.A.","Avenida da Liberdade, nº 190, 6º A, 1250-, Lisboa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PT720018757,984500CEFFA4D7E39534,"Aberto Poupança Reforma BBVA Obrigações 2027 PPR",,"Av. da Liberdade, nº 222, 1250-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PT720018382,9845005C746DYB2FD668,"Aberto SGF Reforma Dinâmica","GOLDEN - S.G.F. SOCIEDADE GESTORA DE FUNDOS DE PENSÕES, S.A.","Avenida da Liberdade, nº 190, 6º A, 1250-, Lisboa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PT720005116,549300I221LBHDUU1N68,"Aberto SGF Reforma Equilibrada","GOLDEN - S.G.F. SOCIEDADE GESTORA DE FUNDOS DE PENSÕES, S.A.","Av. da Liberdade 190 - 6º B, 1250-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PT720020395,9845000CC95652FDC826,"BBVA Desenvolvimento Equilibrado PPR","BBVA - FUNDOS-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Av. da Liberdade, nº 222, 1250-, LISBOA",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PT720021553,254900CUI1IFKKVL8F11,"Floene","AGEAS - SOCIEDADE GESTORA DE FUNDOS DE PENSÕES, S.A.","Praça Principe Perfeito, nº 2, 1990-, Lisboa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PT720006295,959800AYYBZ77RXDWX58,"FP Aberto - Zurich Vida Empresas","ZURICH - COMPANHIA DE SEGUROS VIDA, S.A.","Rua Barata Salgueiro, 41, 1269-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PT720000610,549300U1J2KN70X0M494,"FP Aberto BBVA  PMES","BBVA - FUNDOS-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Av. da Liberdade, 222-6º, 1250-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PT720013631,5493005P8SQUP4YY4N61,"FP Aberto BBVA Multiativo Moderado","BBVA - FUNDOS-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Av. da Liberdade, 222-6º, 1250-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PT720014964,21380068BLGKKYTCRS09,"FP Aberto Big Prestige Equilibrado","FUTURO-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Rua do Carmo, nº 42, 6º, 1200-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PT720014972,213800NWDG2SHUFT5N08,"FP Aberto BIG Prestige Moderado","FUTURO-SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Rua do Carmo, 42, 6º, 1200-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PT720006996,2138001YQNCU6U9UK972,"FP Aberto BPI Acções","BPI VIDA E PENSÕES - COMPANHIA DE SEGUROS, S.A.","Rua Braamcamp, 11 - 6º, 1250-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PT720006970,213800PMEDU8GQ2OPI76,"FP Aberto BPI Garantia","BPI VIDA E PENSÕES - COMPANHIA DE SEGUROS, S.A.","Rua Braamcamp, 11 - 6º, 1250-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
PT720022177,875500BUOVXQGHDFWP38,"FP Aberto BPI Mais Ações","BPI VIDA E PENSÕES - COMPANHIA DE SEGUROS, S.A.","Avenida Praia da Vitória, nº 71, 3º, 1050-, Lisboa",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
PT720001811,213800RSH2Z3BZWTSG20,"FP Aberto BPI Segurança","BPI VIDA E PENSÕES - COMPANHIA DE SEGUROS, S.A.","Rua Braamcamp, 11 - 6º, 1250-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
PT720001820,21380015PIR9V98NSW61,"FP Aberto BPI Valorização","BPI VIDA E PENSÕES - COMPANHIA DE SEGUROS, S.A.","Rua Braamcamp, 11 - 6º, 1250-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PT720013089,2138007SIFXTSPTIVL52,"FP Aberto CA Reforma Benefit","CREDITO AGRICOLA VIDA - COMPANHIA DE SEGUROS, S.A.","Rua Castilho, 233 - 7º, 1070-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PT720008123,213800QNPV1AMMGFGY94,"FP Aberto CA Reforma Mais","CREDITO AGRICOLA VIDA - COMPANHIA DE SEGUROS, S.A.","Rua Castilho, 233 - 7º, 1070-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PT720011035,213800DNT1U7MTRMX259,"FP Aberto CA Reforma Segura","CREDITO AGRICOLA VIDA - COMPANHIA DE SEGUROS, S.A.","Rua Castilho, 233 - 7º, 1070-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PT720008115,21380014F6ZCEKX7F692,"FP Aberto CA Reforma Tranquila","CREDITO AGRICOLA VIDA - COMPANHIA DE SEGUROS, S.A.","Rua Castilho, 233 - 7º, 1070-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
PT720014557,5493007J2DYVJJR3TK30,"FP Aberto Caixa PPR Rendimento Mais","CGD PENSÕES - SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Avenida João XXI, 63, 1000-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PT720003539,549300Y05DKIQNQQA627,"FP Aberto Caixa Reforma Defensivo","CGD PENSÕES - SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Av. Joao XXI, no 63 - 2º Piso, 1000-, LISBOA",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
PT720008700,549300RCDNZFNJDWY202,"FP Aberto Caixa Reforma Garantida 2022","CGD PENSÕES - SOCIEDADE GESTORA DE FUNDOS DE PENSÕES S.A.","Av. Joao XXI, no 63 - 2º Piso, 1000-, LISBOA",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
