CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ROFP2-49,213800SO5NYKYKCE2G84,"Fondul de Pensii Administrat Privat ARIPI",,"PIATA CHARLES DE GAULLE NR. 15, ETAJ 6, 01185, BUCURESTI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ROFP2-20,213800XIUP2MTHXWVW48,"Fondul de Pensii Administrat Privat AZT VIITORUL TĂU",,"str. Buzești nr. 82-94, etaj 12, Sector 1, Bucureşt, 01101, BUCURESTI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ROFP2-123,549300T98MUWXJ8N5J93,"Fondul de Pensii Administrat Privat BCR",,"Șoseaua Orhideelor Nr. 15D, THE BRIDGE, Camerele E2.01, E2.02, E2.03, E2.04, E2.05, A-S1-D7, sector 6, Bucureşti, 06007, BUCURESTI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ROFP2-96,529900X8BKK747MMBH52,"Fondul de Pensii Administrat Privat METROPOLITAN LIFE",,"BDUL LASCAR CATARGIU NR. 47-53, EUROPE HOUSE, UNITATEA 4B, ET.4, 01066, BUCURESTI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ROFP2-31,5493005NWTAKCOW7OP76,"Fondul de Pensii Administrat Privat NN",,"STR. COSTACHE NEGRI NR.1-5, ETAJ 2-3, 05055, BUCURESTI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ROFP2-83,3157002HHFQ6LZ5QR780,"Fondul de Pensii Administrat Privat Pensia Noastra",,"Str. Gheorghe Polizu nr. 58-60, Zona 2, etaj 8, Sector 1, Bucureşti, 01106, BUCURESTI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ROFP2-54,549300FPF48D7U5LXB78,"Fondul de Pensii Administrat Privat VITAL",,"STR. AVRAM IANCU NR. 506-508, ET. 4, 40728, FLORESTI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ROFP3-1151,549300344SDLW7Y20J46,"Fondul de Pensii Facultative  ESENTIAL",,"STR. AVRAM IANCU NR. 506-508, ET. 4, 40728, FLORESTI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ROFP3-1024,213800DO3SEDM1DV2W44,"Fondul de Pensii Facultative AZT MODERATO",,"str. Buzești nr. 82-94, etaj 12, Sector 1, Bucureşti, 01101, BUCURESTI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ROFP3-1053,21380098K5NGQII1LT81,"Fondul de Pensii Facultative AZT VIVACE",,"str. Buzești nr. 82-94, etaj 12, Sector 1, Bucureşti, 01101, BUCURESTI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ROFP3-1048,5493004DKO3BRRHWM979,"Fondul de Pensii Facultative BCR PLUS",,"Șoseaua Orhideelor Nr. 15D, THE BRIDGE, Camerele E2.01, E2.02, E2.03, E2.04, E2.05, A-S1-D7, sector 6, Bucureşti, 06007, BUCURESTI",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
