CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SE8376005941,549300BP8RMJBQLLES95,"3HUS FASTIGHETSSERVICE AB:S SÄRSKILDA PENSIONSSTIFTELSE",,"Karl X Gustavs Gata 58, 254 4, Helsingborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SE8630007683,254900F4UHXR1KVJN865,"A CARLSSON SICKERI O FAST.FÖRVALTN PENSIONSSTIFT",,"Box 5390, 402 2, Göteborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SE8350009687,,"A HÄGGEBRINK GRÄV AB:S SÄRSK PENSIONSSTIFTELSE",,"Stensviksvägen 18, 372 7, Ronneby",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SE8460027173,549300WZ18DNUB15Q857,"AB AFFÄRSSYSTEMS SÄRSKILDA PENSIONSSTIFTELSE",,"Skogholmsgatan 5, 213 7, Malmö",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SE8572065764,549300632DL7JRBDDF50,"AB AGRODUS PENSIONSSTIFTELSE",,"Box 5390, 402 2, Göteborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SE8572049636,549300H3KWPWEEYF3K86,"AB BARKEN:S PENSIONSSTIFTELSE",,"Box 319, 442 1, Kungälv",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SE8020082858,549300IVWIZKW6K0LD93,"AB BEGABS PENSIONSSTIFTELSE",,"Åsevägen 18, 182 3, Danderyd",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SE8450007052,549300430T7ETWLQTW42,"AB BJÖRKHAGAS SÄRSK PENSIONSSTIFTELSE",,"Duvstråket 31, 236 4, Höllviken",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SE8024105812,,"AB C FOOD FASTIGHETER PENSIONSSTIFTELSE",,"Box 5390, 402 2, Göteborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SE8575000313,549300FGA1U7V9E97065,"AB DAG ERICSSON:S SÄRSKILDA PENSIONSSTIFTELSE",,"Box 319, 442 1, Kungälv",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SE8024262043,549300SYUZZYCYBEOU85,"AB DIKARBACKENS PENSIONSSTIFTELSE",,"Box 319, 442 1, Kungälv",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SE8480008161,,"AB HANS ANDERSSONS SÄRSKILDA PENSIONSSTIFTELSE",,"Box 53, 274 2, Skurup",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE8460028288,,"AB HUGO CARPING SÄRSKILDA PENSIONSSTIFTELSE",,"Företagsvägen 20, 232 3, Arlöv",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SE8572052820,54930005CLPK2HVSI270,"AB IMMUNOS  SÄRSKILDA PENSIONSSTIFTELSE",,"Uddevallag 1, 416 7, Göteborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SE8460020426,549300JT8MS4QKKPNA96,"AB INDUSTRIVÄRDENS SÄRSKILDA PENSIONSSTIFTELSE",,"Box 5403, 114 8, Stockholm",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SE8020064930,5493001T15JY2U4X7O87,"AB JÄRNBRUKSFÖRNÖDENHETERS PENSIONSSTIFTELSE",,"Box 1721, 111 8, Stockholm",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SE8430010192,6367004C7TTI7IDBRZ52,"AB KJELLSTRÖM O PERSSONS SÄRSK PENS.STIFT",,"Box 22170, 250 2, Helsingborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SE8024239835,,"AB KUNGSHOLMS BILSERVICE SÄRSKILDA PENSIONSSTIFTELSE",,"Prästallén 4, 137 4, Västerhaninge",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SE8024247853,,"AB KYRKLJUS SÄRSKILDA PENSIONSSTIFTELSE",,"Hallegatan 6, 599 9, Ödeshög",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE8020093384,549300G1TSVWBWM3RT22,"AB LENPOL:S PENSIONSSTIFTELSE",,"Lummergången 15, 135 3, Tyresö",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SE8450017168,,"AB LUNDS LJUSKOPIERINGSBYRÅS S PENSIONSSTIFTELSE",,"Smedjevägen 9, 236 3, Höllviken",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SE8460016010,549300U1VXETU6R9RW28,"AB MALMÖ SMIDES-O KASSASKÅPSFABR SÄRSK PENS.STIF",,"Santessonsv 3, 232 9, Arlöv",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SE8465021510,5493000OHRTHRZVFDS73,"AB MODICUS REVISIONS SÄRSKILDA PENSIONSSTIFTELSE",,"Järngatan 33, 234 2, Lomma",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SE8492022168,8945000K619SNTRA7N87,"AB RÖINGE-GYCKLAREN:S PENSIONSSTIFTELSE",,"Hjalmar Brantings Väg 41, 261 4, Landskrona",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SE8932033288,549300QEXB370QBNUE53,"AB SLÄDENS PENSIONSSTIFTELSE NR 3",,"Box 5390, 402 2, Göteborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SE8430034531,549300R921ZIMPX3X079,"AB SOLSIDANS SÄRSKILDA PENSIONSSTIFTELSE",,"Klyvarevägen 6, 254 8, Helsingborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SE8024242698,,"AB STRÖMBERG & ANDERSSON RÖRLEDNINGSFIRMAS SÄRSKILDA PENSIONSSTIFTELSE",,"Box 22232, 250 2, Helsingborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SE8132001614,,"AB SVENSKA MASKINVERKENS PENSIONSSTIFTELSE",,"581 8, Linköping",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SE8280006787,549300QKDCRPG0ME3010,"AB SWETRAILS SÄRSKILDA PENSIONSSTIFTELSE",,"Brogatan 5, 331 3, Värnamo",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SE8020068188,549300PY0PVQ2GJYLD48,"AB TILOS PENSIONSSTIFTELSE",,"Svärdvägen 21, 182 3, Danderyd",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SE8024258363,,"AB TORNSTADENS KONCERNGEMENSAMMA VINSTANDELSSTIFTELSE",,"Göteborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SE8382006289,,"AB WIDTSKÖFLE PENSIONSSTIFTELSE",,"Vittskövlevägen 107-2, 297 9, Vittskövle",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
SE8780014844,5493007VGM2SUCECW337,"ABB-Koncernens Särskilda Pensionsstiftelse",,"Box 5147, 402 2, Göteborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
SE8020122910,549300FTNJ4NHQSXOX82,"ACADIUS AB SÄRSKILDA PENSIONSSTIFTELSE",,"Drottninggatan 104, 111 6, Stockholm",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SE8572067018,549300QJ4GYZX3QRFU58,"ACREVI REVISION S JOHANSSON AB:S PENSIONSSTIFTELSE",,"Villavägen 6, 443 3, Lerum",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SE8020141217,,"ADDEXA DATA AB:S PENSIONSSTIFTELSE",,"Box 319, 442 1, Kungälv",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SE8865005394,549300R8H7POXS0QFL68,"ÄDELSTJÄRNAN AB:S SÄRSKILDA PENSIONSSTIFTELSE",,"Framnäsvägen 24, 821 4, Bollnäs",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SE8020154632,549300N578SO362H9586,"ADENFELDT PENSIONSSTIFTELSE",,"Utsiktsvägen 8, 181 6, Lidingö",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SE8430035355,984500GCD1C50744FC03,"ADV GLIMSTEDT HBG HB:S PEN.STIFT FÖR A,I MÅNSSON",,"Box 1027, 251 1, Helsingborg",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SE8024129333,549300IVM66BM7HPDD09,"ADVISER P OLOFSSON AB:S PENS.STIFT FÖR G & P",,"Saltsjöbadsvägen 43, 131 5, Saltsjö-Duvnäs",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SE8024777503,549300VAL16RRCJ1OC12,"ADVISER PARTNER EUROPE AB:S SÄRSKILD PENSIONSSTIFTELSE FÖR FK, HH O JO",,"Strandvägen 1, 114 5, Stockholm",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SE8020179001,5493007I4IE5I7WO8037,"Advokat AB Mats Hellström:S Särskilda Pens.Stift",,"Sveavägen 17, 182 6, Djursholm",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SE8176052994,549300QAKFUTGLL18087,"ADVOKAT P J ARVIDSON ABS SÄRSKILDA PENSIONSSTIFT",,"Svartbäcksgatan 33, 753 1, Uppsala",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SE8176020165,549300Q359AWNT8RDS42,"ADVOKATF TOMAS MATTSSON AB:S PENSIONSSTIFTELSE",,"Box 55948, 102 1, Stockholm",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
