CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SI6031226012,485100EH28SRGJJVOK74,"DINAMIČNI PODSKLAD JAVNIH USLUŽBENCEV","Modra zavarovalnica, d.d.","Dunajska cesta 119, 1000, Ljubljana",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SI6031226011,485100D6R0P9R0F4NM55,"KROVNI POKOJNINSKI SKLAD JAVNIH USLUŽBENCEV","Modra zavarovalnica, d.d.","Dunajska cesta 119, 1000, Ljubljana",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SI5186684002,485100YE22LFQSYC3147,"KROVNI POKOJNINSKI SKLAD LEON 2","GENERALI zavarovalnica d.d.","Kržičeva ulica 3, 1000, Ljubljana",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SI5092221136,485100IA745Q5S4UGF18,"KROVNI POKOJNINSKI SKLAD MOJ STEBER","Banka Intesa Sanpaolo d.d.","Pristaniška ulica 14, 6000, Koper",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SI5186684014,48510032KO1VSMKYOA70,"LEON DINAMIČNI","GENERALI zavarovalnica d.d.","Kržičeva ulica 3, 1000, Ljubljana",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SI5186684015,485100Y6C0QQH8U4E573,"LEON PREUDARNI","GENERALI zavarovalnica d.d.","Kržičeva ulica 3, 1000, Ljubljana",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SI5186684016,485100FFUGXM0PBJH887,"LEON ZAJAMČENI","GENERALI zavarovalnica d.d.","Kržičeva ulica 3, 1000, Ljubljana",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SI6031226006,485100FL66DSKMBPCB81,"MODRI DINAMIČNI PODSKLAD","Modra zavarovalnica, d.d.","Dunajska cesta 119, 1000, Ljubljana",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SI6031226007,485100RFKJI9OND5UN34,"MODRI KROVNI POKOJNINSKI SKLAD","Modra zavarovalnica, d.d.","Dunajska cesta 119, 1000, Ljubljana",,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SI6031226008,485100YYKARDRUA4W297,"MODRI PREUDARNI PODSKLAD","Modra zavarovalnica, d.d.","Dunajska cesta 119, 1000, Ljubljana",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SI6031226009,4851009BJUVV5U5G9337,"MODRI ZAJAMČENI PODSKLAD","Modra zavarovalnica, d.d.","Dunajska cesta 119, 1000, Ljubljana",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SI5092221138,4851004KL034B1MTQS58,"MOJ STEBER DINAMIČNI","Banka Intesa Sanpaolo d.d.","Pristaniška ulica 14, 6000, Koper",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SI5092221137,485100U01JDRTNH0KY87,"MOJ STEBER URAVNOTEŽENI","Banka Intesa Sanpaolo d.d.","Pristaniška ulica 14, 6000, Koper",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SI5092221078,485100ARXORS1HVSQR75,"MOJ STEBER ZAJAMČENI","Banka Intesa Sanpaolo d.d.","Pristaniška ulica 14, 6000, Koper",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SI1640097000,48510000GEDVQGY99H83,"POKOJNINSKA DRUŽBA A, d.d.",,"Tivolska cesta 048, 1000, Ljubljana",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SI6031226013,485100C2C8ROON17BC45,"PREUDARNI PODSKLAD JAVNIH USLUŽBENCEV","Modra zavarovalnica, d.d.","Dunajska cesta 119, 1000, Ljubljana",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
SI8961468000,4851008J12R3F1FJVG61,"PRVA POKOJNINSKA DRUŽBA, d.d.",,"Fajfarjeva ulica 033, 1000, Ljubljana",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SI1550411000,213800K2LJ7JKL6CU689,"Sava pokojninska družba, d.d.",,"Ulica Eve Lovše 007, 2000, Maribor",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SI5147344000,48510000A7EJQP9DKM11,"SKLAD OBRTNIKOV IN PODJETNIKOV",,"Železna cesta 018, 1000, Ljubljana",Mixed,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SI5986010003,485100G36J5APXCQQG71,"SKLAD OBVEZNEGA DODATNEGA POKOJNINSKEGA ZAVAROVANJA (SODPZ)",,"Dunajska cesta 119, 1000, Ljubljana",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SI1584774000,48510000PUF0PHJMWE31,"TRIGLAV, POKOJNINSKA DRUŽBA, D.D.",,"Dunajska cesta 022, 1000, Ljubljana",Defined benefits,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SI6031226014,485100NW1P7L45SSL506,"ZAJAMČENI PODSKLAD JAVNIH USLUŽBENCEV","Modra zavarovalnica, d.d.","Dunajska cesta 119, 1000, Ljubljana",Defined benefits,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
