CÓDIGO EUROPEO,LEI,NOMBRE,NOMBRE DE LA GESTORA,DIRECCIÓN,TIPO DE FONDO DE PENSION,PROMOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SK35903821AXA01,31570020000000003669,"Akciový negarantovaný d. f. UNIQA d.s.s., a.s.","UNIQA d.s.s., a.s.","Krasovského 3986/15, 85101, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SK35903821AXA02,31570020000000003766,"Dlhopisový garantovaný d.d.f. UNIQA d.s.s., a.s.","UNIQA d.s.s., a.s.","Krasovského 3986/15, 85101, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SK35976853NNT04,315700R0QE9Y807WNP55,"Dôchodkový výplatný d.d.f. NN TATRY-SYMPATIA, d.d.s., a.s.","NN Tatry - Sympatia, d.d.s., a.s.","Jesenského 4/C, 81102, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SK36291111TTR02,315700D7RJZ0LUHUAE72,"Doplnková dôchodková spoločnosť Tatra banky, a.s., Comfort life 2030 príspevkový d.d.f.","Doplnková dôchodková spoločnosť Tatra banky, a.s.","Hodžovo námestie 3, 81106, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SK36291111TTR03,31570044UI8NPF3X0B88,"Doplnková dôchodková spoločnosť Tatra banky, a.s., Comfort life 2040 príspevkový d.d.f.","Doplnková dôchodková spoločnosť Tatra banky, a.s.","Hodžovo námestie 3, 81106, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SK36291111TTR05,3157002HGFZ4UDI11Q44,"Doplnková dôchodková spoločnosť Tatra banky, a.s., Comfort life 2050 príspevkový d.d.f.","Doplnková dôchodková spoločnosť Tatra banky, a.s.","Hodžovo námestie 3, 81106, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SK36291111TTR06,3157009L2CCZ580MGY36,"Doplnková dôchodková spoločnosť Tatra banky, a.s., Comfort life 2060 príspevkový d.d.f.","Doplnková dôchodková spoločnosť Tatra banky, a.s.","Hodžovo námestie 3, 81106, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
SK36291111TTR01,315700U70GLCA2YLDZ25,"Doplnková dôchodková spoločnosť Tatra banky, a.s., Dôchodkový výplatný d.d.f.","Doplnková dôchodková spoločnosť Tatra banky, a.s.","Hodžovo námestie 3, 81106, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SK35902981NNF01,315700ILGAHU6JQ3MN85,"Dynamika - Akciový negarantovaný dôchodkový fond NN dôchodková správcovská spoločnosť, a.s.","NN dôchodková správcovská spoločnosť, a.s.","Jesenského 4/C, 81102, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SK35901624ALL01,3157000MMHAEMVJ5AT08,"GARANT dlhopisový garantovaný dôchodkový fond, Allianz - Slovenská d.s.s., a.s.","Allianz - Slovenská dôchodková správcovská spoločnosť, a.s.","Pribinova 19, 811 0, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
SK35977540AXD02,31570020000000003475,"Globálny akciový dôchodkový fond UNIQA d.d.s., a.s., príspevkový d.d.f.","UNIQA d.d.s., a.s.","Krasovského 3986/15, 85101, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
SK35902981NNF02,3157007W86XXSIWX1516,"Harmónia - Zmiešaný negarantovaný dôchodkový fond NN dôchodková správcovská spoločnosť, a.s.","NN dôchodková správcovská spoločnosť, a.s.","Jesenského 4/C, 81102, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SK35902612AEG01,097900BFGQ0000028094,"Index Global - Indexový negarantovaný dôchodkový fond NN dôchodková správcovská spoločnosť, a.s.","NN dôchodková správcovská spoločnosť, a.s.","Jesenského 4/C, 81102, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SK35903058VUB01,097900BEJX0000002143,"INDEX, indexový negarantovaný dôchodkový fond VÚB Generali dôchodková správcovská spoločnosť, a.s.","VÚB Generali dôchodková správcovská spoločnosť, a.s.","Mlynské nivy 1, 82004, Bratislava",Defined contributions,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SK35977540AXD04,097900BJD40000191837,"Indexový globálny dôchodkový fond UNIQA d.d.s., a.s., príspevkový d.d.f.","UNIQA d.d.s., a.s.","Krasovského 3986/15, 85101, Bratislava",Defined contributions,Yes,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
