"International Name";"Name of NCA";"Home Country";"Identification code";"LEI";"Official name of the entity";"Cross border status";"EU Country where the entity operates";"Local/Commercial name";"Registration start date";"Registration end date";"Street Name";"Street Number";"Post Code";"City";"County";"Website address";"Operation Start Date";"Operation End Date";
"EUROPEAN INSURANCE SOLUTION PCC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 62414";"213800LD98RC6499PB21";"EUROPEAN INSURANCE SOLUTION PCC LIMITED";"Domestic undertaking";"MT";"";"14/11/2013 00:00:00";"22/05/2024 00:00:00";"4TH FLOOR, DEVELOPMENT HOUSE,";"ST. ANNE STREET,";"FRN9010";"FLORIANA";"";"http://www.eis-pcc.com/";"14/11/2013 00:00:00";"22/05/2024 00:00:00";
"ELMO INSURANCE LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 3500";"213800PTT2RWKYU5LV82";"ELMO INSURANCE LIMITED";"Domestic undertaking";"MT";"";"29/04/2004 00:00:00";"";"Abate Rigord Street";"";"XBX 1111";"Ta Xbiex";"";"";"29/04/2004 00:00:00";"";
"CITADEL INSURANCE P.L.C.";"Malta Financial Services Authority (MFSA)";"MT";"C 21550";"5299005JR2DPHSDP1371";"CITADEL INSURANCE P.L.C.";"Domestic undertaking";"MT";"";"22/08/1997 00:00:00";"";"26, Market Street,";"Casa Borgo, ";"FRN 1082";"Floriana";"";"";"22/08/1997 00:00:00";"";
"BAVARIA REINSURANCE MALTA LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 37534";"213800VP6B1WEHBDQP63";"BAVARIA REINSURANCE MALTA LIMITED";"Domestic undertaking";"MT";"";"14/12/2005 00:00:00";"";"St. Anne Street,";"5th Floor, Development House,";"FRN 9010";"Floriana";"";"";"14/12/2005 00:00:00";"";
"CAFINA ASSURANCES LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 50718";"213800NR2H6HYASL4F61";"CAFINA ASSURANCES LIMITED";"Domestic undertaking";"MT";"";"15/10/2010 00:00:00";"";"Alfred Craig Street, ";"";"XBX 1111";"Ta Xbiex";"";"";"15/10/2010 00:00:00";"";
"BASTION INSURANCE COMPANY LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 37545";"213800FB2YPNPQKFSI47";"BASTION INSURANCE COMPANY LIMITED";"Domestic undertaking";"MT";"";"15/12/2005 00:00:00";"";"St. Anne Street,";"4th Floor, Development House, ";"FRN 9010";"Floriana";"";"";"15/12/2005 00:00:00";"";
"ALC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 58360";"";"ALC LIMITED";"Domestic undertaking";"MT";"";"27/11/2012 00:00:00";"31/07/2015 00:00:00";"ACHILLE FERRIS STREET";"REALCO BUILDINGS,";"MSD 1751";"MSIDA";"";"";"27/11/2012 00:00:00";"31/07/2015 00:00:00";
"BLUEBIRD REINSURANCE (EUROPE) LTD";"Malta Financial Services Authority (MFSA)";"MT";"C 50960";"";"BLUEBIRD REINSURANCE (EUROPE) LTD";"Domestic undertaking";"MT";"";"22/10/2010 00:00:00";"01/01/2015 00:00:00";"Strand Towers,";" Floor 1, 36, The Strand,";"SLM 1022";"Sliema";"";"";"22/10/2010 00:00:00";"01/01/2015 00:00:00";
"FNF TITLE INSURANCE COMPANY LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 55253";"63540095PWEPVLD4QR40";"FNF TITLE INSURANCE COMPANY LIMITED";"Domestic undertaking";"MT";"";"09/02/2012 00:00:00";"30/12/2015 00:00:00";"St. Anne Street,";"Development House, ";"FRN 9010";"Floriana";"";"";"09/02/2012 00:00:00";"31/12/2015 00:00:00";
"GENGHIS INSURANCE PCC LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 55194";"63540083ZOKLP2751M02";"GENGHIS INSURANCE PCC LIMITED";"Domestic undertaking";"MT";"";"09/02/2012 00:00:00";"30/09/2019 00:00:00";"St. Anne Street,";"Development House, ";"FRN 9010";"Floriana";"";"";"09/02/2012 00:00:00";"30/09/2019 00:00:00";
"AXERIA LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 43228";"529900NKJS9RRJ1DL451";"AXERIA LIMITED";"Domestic undertaking";"MT";"";"31/12/2007 00:00:00";"16/01/2021 00:00:00";"230, 230 Works Business Centre, Second Floor, Eucharistic Congress Road, ";"";"MST 9039";"Mosta";"MALTA";"N/A";"31/12/2007 00:00:00";"16/01/2021 00:00:00";
"CAVERSHAM INSURANCE (MALTA) LIMITED";"Malta Financial Services Authority (MFSA)";"MT";"C 37038";"63540063MT61OOZCNT55";"CAVERSHAM INSURANCE (MALTA) LIMITED";"Domestic undertaking";"MT";"";"24/01/2006 00:00:00";"16/04/2019 00:00:00";"DEVELOPMENT HOUSE, ST. ANNE STREET";"";"FRN 9010";"Floriana ";"MALTA ";"";"24/01/2006 00:00:00";"16/04/2019 00:00:00";
"RIVERSTONE INSURANCE (MALTA) SE";"Malta Financial Services Authority (MFSA)";"MT";"SE 2";"213800NZ2O2O9B1KZ788";"RIVERSTONE INSURANCE (MALTA) SE";"Domestic undertaking";"MT";"";"12/12/2011 00:00:00";"";"ARAGON HOUSE BUSINESS CENTRE, LEVEL 1,";"DRAGONARA ROAD,";"STJ 3140";"ST. JULIANS";"";"";"12/12/2011 00:00:00";"";
